Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,-14,71,-49200
ASIANPAINT,60417,600,-98,47,-68200
AXISBANK,1510401,1200,41,79,33400
BAJAJ-AUTO,4267265,250,-291,71,-86950
BAJFINANCE,81153,250,199,66,36550
BAJAJFINSV,4268801,125,689,69,72325
BPCL,134657,1800,76,121,112600
BHARTIARTL,2714625,1851,30,61,43330
INFRATEL,7458561,2000,12,40,16000
BRITANNIA,140033,200,-30,44,-14800
CIPLA,177665,1000,25,81,8800
COALINDIA,5215745,2200,34,97,55400
DRREDDY,225537,250,142,57,24100
EICHERMOT,232961,25,1985,60,37625
GAIL,1207553,5334,8,95,23672
GRASIM,315393,750,138,83,86900
HCLTECH,1850625,700,55,66,25300
HDFCBANK,341249,250,-9,67,-15650
HEROMOTOCO,345089,200,155,63,18400
HINDALCO,348929,3500,44,98,134400
HINDUNILVR,356865,300,117,71,20900
HDFC,340481,500,160,93,61400
ICICIBANK,1270529,1375,53,105,51875
ITC,424961,2400,15,78,20400
IBULHSGFIN,7712001,800,146,90,98800
IOC,415745,3500,4,92,-4400
INDUSINDBK,1346049,400,264,74,90800
INFY,408065,1200,-31,49,-47000
JSWSTEEL,3001089,2000,34,90,50000
KOTAKBANK,492033,400,-54,73,-36200
LT,2939649,375,167,77,47225
M&M,519937,1000,108,133,81400
MARUTI,2815745,75,1000,83,58400
NTPC,2977281,4800,9,87,25800
ONGC,633601,3750,17,108,42150
POWERGRID,3834113,4000,22,70,74000
RELIANCE,738561,500,65,71,18300
SBIN,779521,3000,12,92,17600
SUNPHARMA,857857,1100,42,74,31400
TCS,2953217,250,76,69,5200
TATAMOTORS,884737,3000,7,88,3400
TATASTEEL,895745,1061,41,91,25301
TECHM,3465729,1200,17,62,8000
TITAN,897537,750,80,76,44800
UPL,2889473,900,24,73,7000
ULTRACEMCO,2952193,200,410,98,62400
VEDL,784129,3000,8,90,6000
WIPRO,969473,3200,-3,59,-21400
YESBANK,3050241,2200,17,70,23400
ZEEL,975873,1300,38,70,35400
