Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,25,66,49300
ASIANPAINT,60417,600,31,81,2400
AXISBANK,1510401,1200,99,53,108200
BAJAJ-AUTO,4267265,250,0,50,-10000
BAJFINANCE,81153,250,161,64,27450
BAJAJFINSV,4268801,125,1017,60,115125
BPCL,134657,1800,25,63,32400
BHARTIARTL,2714625,1851,30,62,43130
INFRATEL,7458561,2000,31,42,53600
BRITANNIA,140033,200,340,63,55400
CIPLA,177665,1000,16,45,7000
COALINDIA,5215745,2200,22,44,39600
DRREDDY,225537,250,28,65,-6000
EICHERMOT,232961,25,1978,50,39450
GAIL,1207553,5334,-5,42,-35070
GRASIM,315393,750,106,66,66300
HCLTECH,1850625,700,-10,58,-18600
HDFCBANK,341249,250,-47,49,-21550
HEROMOTOCO,345089,200,257,51,41200
HINDALCO,348929,3500,8,87,10600
HINDUNILVR,356865,300,-35,75,-25500
HDFC,340481,500,74,33,30400
ICICIBANK,1270529,1375,-11,63,-27725
ITC,424961,2400,22,60,40800
IBULHSGFIN,7712001,800,177,86,124400
IOC,415745,3500,4,53,3400
INDUSINDBK,1346049,400,124,92,31200
INFY,408065,1200,42,40,42400
JSWSTEEL,3001089,2000,35,71,55800
KOTAKBANK,492033,400,33,70,-800
LT,2939649,375,228,56,74300
M&M,519937,1000,51,62,38600
MARUTI,2815745,75,509,60,26175
NTPC,2977281,4800,0,61,-12200
ONGC,633601,3750,0,36,-7200
POWERGRID,3834113,4000,10,56,28800
RELIANCE,738561,500,68,56,22800
SBIN,779521,3000,42,71,111800
SUNPHARMA,857857,1100,37,86,23500
TCS,2953217,250,216,48,44400
TATAMOTORS,884737,3000,23,84,52200
TATASTEEL,895745,1061,38,75,25318
TECHM,3465729,1200,76,59,79400
TITAN,897537,750,-18,57,-24900
UPL,2889473,900,81,75,57900
ULTRACEMCO,2952193,200,259,68,38200
VEDL,784129,3000,7,63,8400
WIPRO,969473,3200,3,62,-2800
YESBANK,3050241,2200,18,51,29400
ZEEL,975873,1300,59,72,62300
