Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,42,47,95600
ASIANPAINT,60417,600,101,54,49800
AXISBANK,1510401,1200,-18,64,-34400
BAJAJ-AUTO,4267265,250,193,42,39850
BAJFINANCE,81153,250,-75,41,-26950
BAJAJFINSV,4268801,125,623,65,64875
BPCL,134657,1800,65,59,105200
BHARTIARTL,2714625,1851,14,50,15914
INFRATEL,7458561,2000,3,30,0
BRITANNIA,140033,200,41,37,800
CIPLA,177665,1000,14,68,400
COALINDIA,5215745,2200,5,56,-200
DRREDDY,225537,250,21,51,-4950
EICHERMOT,232961,25,-1925,57,-59525
GAIL,1207553,5334,6,53,21404
GRASIM,315393,750,114,53,74900
HCLTECH,1850625,700,11,50,-2300
HDFCBANK,341249,250,52,59,1200
HEROMOTOCO,345089,200,95,57,7600
HINDALCO,348929,3500,8,68,14400
HINDUNILVR,356865,300,-122,58,-48200
HDFC,340481,500,11,48,-4100
ICICIBANK,1270529,1375,-5,65,-19875
ITC,424961,2400,-14,53,-44200
IBULHSGFIN,7712001,800,81,66,51600
IOC,415745,3500,-1,76,-18700
INDUSINDBK,1346049,400,179,49,61800
INFY,408065,1200,18,43,13000
JSWSTEEL,3001089,2000,-6,88,-29600
KOTAKBANK,492033,400,-23,59,-21000
LT,2939649,375,60,92,4100
M&M,519937,1000,-34,73,-48600
MARUTI,2815745,75,-126,42,-17850
NTPC,2977281,4800,-12,47,-67000
ONGC,633601,3750,5,43,10150
POWERGRID,3834113,4000,7,47,18600
RELIANCE,738561,500,-59,50,-39500
SBIN,779521,3000,-22,71,-80200
SUNPHARMA,857857,1100,38,70,27800
TCS,2953217,250,105,60,14250
TATAMOTORS,884737,3000,9,76,11800
TATASTEEL,895745,1061,-33,81,-51213
TECHM,3465729,1200,36,49,33400
TITAN,897537,750,110,55,71500
UPL,2889473,900,12,53,200
ULTRACEMCO,2952193,200,146,48,19600
VEDL,784129,3000,-3,56,-20200
WIPRO,969473,3200,0,40,-8000
YESBANK,3050241,2200,35,77,61600
ZEEL,975873,1300,97,73,111500
