Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,4,48,400
ASIANPAINT,60417,600,5,20,-1000
AXISBANK,1510401,1200,-29,45,-43800
BAJAJ-AUTO,4267265,250,45,38,3650
BAJFINANCE,81153,250,-86,39,-29300
BAJAJFINSV,4268801,125,111,42,5475
BPCL,134657,1800,8,31,8200
BHARTIARTL,2714625,1851,-2,60,-15702
INFRATEL,7458561,2000,12,41,15800
BRITANNIA,140033,200,124,29,19000
CIPLA,177665,1000,-12,40,-20000
COALINDIA,5215745,2200,1,26,-3000
DRREDDY,225537,250,25,40,-1750
EICHERMOT,232961,25,827,40,12675
GAIL,1207553,5334,5,51,16470
GRASIM,315393,750,43,60,20250
HCLTECH,1850625,700,17,44,3100
HDFCBANK,341249,250,11,38,-4850
HEROMOTOCO,345089,200,-8,38,-9200
HINDALCO,348929,3500,17,51,49300
HINDUNILVR,356865,300,-18,34,-12200
HDFC,340481,500,-37,50,-28500
ICICIBANK,1270529,1375,14,45,10250
ITC,424961,2400,-14,53,-44200
IBULHSGFIN,7712001,800,10,64,-4800
IOC,415745,3500,10,46,25800
INDUSINDBK,1346049,400,73,70,15200
INFY,408065,1200,6,40,-800
JSWSTEEL,3001089,2000,6,55,1000
KOTAKBANK,492033,400,-16,47,-15800
LT,2939649,375,46,45,8250
M&M,519937,1000,29,47,19600
MARUTI,2815745,75,127,42,1125
NTPC,2977281,4800,-1,23,-9400
ONGC,633601,3750,7,40,18250
POWERGRID,3834113,4000,4,32,9600
RELIANCE,738561,500,-9,42,-12900
SBIN,779521,3000,7,70,7000
SUNPHARMA,857857,1100,0,56,-11200
TCS,2953217,250,-92,41,-31200
TATAMOTORS,884737,3000,5,51,4800
TATASTEEL,895745,1061,7,67,-5973
TECHM,3465729,1200,-31,31,-43400
TITAN,897537,750,-52,44,-47800
UPL,2889473,900,10,37,1600
ULTRACEMCO,2952193,200,82,35,9400
VEDL,784129,3000,3,57,-2400
WIPRO,969473,3200,-3,31,-15800
YESBANK,3050241,2200,11,78,8600
ZEEL,975873,1300,18,54,12600
