Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,-32,35,-87000
ASIANPAINT,60417,600,-44,40,-34400
AXISBANK,1510401,1200,-18,46,-30800
BAJAJ-AUTO,4267265,250,-45,21,-15450
BAJFINANCE,81153,250,3,45,-8250
BAJAJFINSV,4268801,125,52,37,-900
BPCL,134657,1800,6,35,3800
BHARTIARTL,2714625,1851,-15,28,-33365
INFRATEL,7458561,2000,13,26,20800
BRITANNIA,140033,200,199,37,32400
CIPLA,177665,1000,-15,38,-22600
COALINDIA,5215745,2200,10,41,13800
DRREDDY,225537,250,97,29,18450
EICHERMOT,232961,25,719,26,12775
GAIL,1207553,5334,-13,34,-76142
GRASIM,315393,750,55,47,31850
HCLTECH,1850625,700,-15,26,-15700
HDFCBANK,341249,250,-2,30,-6500
HEROMOTOCO,345089,200,-117,29,-29200
HINDALCO,348929,3500,6,38,13400
HINDUNILVR,356865,300,-102,39,-38400
HDFC,340481,500,0,38,-7600
ICICIBANK,1270529,1375,-10,42,-22150
ITC,424961,2400,2,30,-1200
IBULHSGFIN,7712001,800,36,39,21000
IOC,415745,3500,3,31,4300
INDUSINDBK,1346049,400,-5,50,-12000
INFY,408065,1200,6,35,200
JSWSTEEL,3001089,2000,5,45,1000
KOTAKBANK,492033,400,-41,25,-21400
LT,2939649,375,20,27,2100
M&M,519937,1000,19,41,10800
MARUTI,2815745,75,130,38,2150
NTPC,2977281,4800,-6,41,-37000
ONGC,633601,3750,-5,45,-27750
POWERGRID,3834113,4000,-17,34,-74800
RELIANCE,738561,500,-31,30,-21500
SBIN,779521,3000,-12,46,-45200
SUNPHARMA,857857,1100,6,49,-3200
TCS,2953217,250,129,29,26450
TATAMOTORS,884737,3000,6,38,10400
TATASTEEL,895745,1061,2,53,-8478
TECHM,3465729,1200,14,28,11200
TITAN,897537,750,-44,33,-39600
UPL,2889473,900,-3,28,-8300
ULTRACEMCO,2952193,200,37,36,200
VEDL,784129,3000,-1,60,-15000
WIPRO,969473,3200,6,35,12200
YESBANK,3050241,2200,-7,40,-23400
ZEEL,975873,1300,-29,47,-47100
