Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,-21,38,-60100
ASIANPAINT,60417,600,-107,30,-70200
AXISBANK,1510401,1200,17,38,12800
BAJAJ-AUTO,4267265,250,-338,39,-92300
BAJFINANCE,81153,250,36,38,1400
BAJAJFINSV,4268801,125,411,42,42975
BPCL,134657,1800,32,48,48000
BHARTIARTL,2714625,1851,-10,38,-26110
INFRATEL,7458561,2000,0,26,-5200
BRITANNIA,140033,200,-124,26,-30000
CIPLA,177665,1000,18,42,9600
COALINDIA,5215745,2200,5,40,3000
DRREDDY,225537,250,-18,27,-9900
EICHERMOT,232961,25,1042,28,20450
GAIL,1207553,5334,-2,49,-20468
GRASIM,315393,750,38,52,18100
HCLTECH,1850625,700,62,39,35600
HDFCBANK,341249,250,-58,39,-22300
HEROMOTOCO,345089,200,-101,37,-27600
HINDALCO,348929,3500,3,42,2100
HINDUNILVR,356865,300,64,32,12800
HDFC,340481,500,1,54,-10300
ICICIBANK,1270529,1375,-6,48,-17850
ITC,424961,2400,11,46,17200
IBULHSGFIN,7712001,800,98,45,69400
IOC,415745,3500,-3,42,-18900
INDUSINDBK,1346049,400,93,40,29200
INFY,408065,1200,-31,26,-42400
JSWSTEEL,3001089,2000,9,53,7400
KOTAKBANK,492033,400,-104,49,-51400
LT,2939649,375,51,44,10325
M&M,519937,1000,32,44,23200
MARUTI,2815745,75,440,30,27000
NTPC,2977281,4800,0,44,-8800
ONGC,633601,3750,-2,54,-18300
POWERGRID,3834113,4000,7,33,21400
RELIANCE,738561,500,63,40,23500
SBIN,779521,3000,-3,48,-18600
SUNPHARMA,857857,1100,2,38,-5400
TCS,2953217,250,-97,35,-31250
TATAMOTORS,884737,3000,9,50,17000
TATASTEEL,895745,1061,15,42,7515
TECHM,3465729,1200,13,40,7600
TITAN,897537,750,-41,48,-40350
UPL,2889473,900,-18,43,-24800
ULTRACEMCO,2952193,200,127,46,16200
VEDL,784129,3000,-6,46,-27200
WIPRO,969473,3200,0,39,-7800
YESBANK,3050241,2200,4,45,-200
ZEEL,975873,1300,-5,30,-12500
