Close,Date,DatePart,Day_High,Day_Low,High,Hour,Long_Count,Low,Minute,Open,Order_Price,Order_Signal,Order_Status,Profit,Short_Count,Stop_Loss,Target,Trade_Count,Year
236.75,2019-10-01 09:55:00,2019-10-01,0.0,0.0,252.75,9,0.0,236.0,55,252.75,236.8,Sell,Entry,0.0,0.0,274.6,199.0,0.0,2019
241.85,2019-10-01 10:05:00,2019-10-01,0.0,0.0,243.15,10,0.0,233.1,5,236.45,235.6,Buy,Exit,0.0,0.0,231.4,245.5,0.0,2019
237.8,2019-10-01 10:15:00,2019-10-01,0.0,0.0,238.9,10,0.0,234.05,15,237.65,236.8,Sell,Exit,0.0,0.0,274.6,199.0,0.0,2019
233.7,2019-10-01 10:35:00,2019-10-01,0.0,0.0,237.0,10,0.0,229.0,35,229.1,235.6,Buy,Exit,0.0,0.0,226.4,245.5,0.0,2019
236.8,2019-10-01 10:45:00,2019-10-01,0.0,0.0,237.65,10,0.0,234.0,45,236.85,236.8,Sell,Exit,0.0,0.0,274.6,199.0,0.0,2019
238.75,2019-10-01 10:55:00,2019-10-01,0.0,0.0,241.9,10,0.0,234.35,55,234.35,235.6,Buy,Exit,0.0,0.0,226.4,245.5,0.0,2019
234.75,2019-10-01 11:05:00,2019-10-01,0.0,0.0,237.3,11,0.0,234.2,5,236.0,236.8,Sell,Exit,0.0,0.0,274.6,199.0,0.0,2019
235.5,2019-10-01 11:15:00,2019-10-01,0.0,0.0,236.75,11,0.0,234.8,15,235.75,235.6,Buy,Exit,0.0,0.0,226.4,245.5,0.0,2019
237.2,2019-10-01 11:25:00,2019-10-01,0.0,0.0,237.75,11,0.0,233.1,25,235.8,236.8,Sell,Exit,0.0,0.0,274.6,199.0,0.0,2019
238.65,2019-10-01 12:40:00,2019-10-01,0.0,0.0,238.9,12,0.0,236.1,40,236.9,235.6,Buy,Exit,0.0,0.0,226.4,245.5,0.0,2019
236.1,2019-10-01 13:10:00,2019-10-01,0.0,0.0,238.45,13,0.0,235.65,10,237.5,236.8,Sell,Exit,0.0,0.0,274.6,199.0,0.0,2019
237.2,2019-10-01 13:45:00,2019-10-01,0.0,0.0,241.15,13,0.0,229.45,45,229.7,235.6,Buy,Exit,0.0,0.0,226.4,245.5,0.0,2019
243.1,2019-10-01 13:50:00,2019-10-01,0.0,0.0,248.0,13,0.0,237.3,50,237.35,245.5,Sell,Exit,0.0,0.0,0.0,0.0,0.0,2019
