Company,Profit,Trades,Net_Profit
ADANIPORTS,18910.1,2,47274850.0
BPCL,19469.700000000008,75,35030460.000000015
GRASIM,19138.3,75,14338725.0
IBULHSGFIN,19437.699999999993,75,15535159.999999994
LT,18465.2,75,6909450.0
Total,,302,119088645.00000001
