Date,Open,High,Low,Close,Year,DatePart,Order_Status,Order_Signal,Order_Price,Target,Stop_Loss,Hour,Minute
2019-07-30 10:30:00,1085.5,1089.15,1085.5,1086.8,2019,2019-07-30,Entry,Buy,1086.8,1093.8,1085.8,10,30
2019-07-30 10:40:00,1086.55,1087.4,1085.6,1086.5,2019,2019-07-30,Exit,Sell,1085.8,0.0,0.0,10,40
2019-07-30 13:00:00,1087.45,1091.2,1087.45,1089.2,2019,2019-07-30,Entry,Buy,1089.2,1096.2,1088.2,13,0
2019-07-30 13:05:00,1089.05,1089.7,1087.5,1089.3,2019,2019-07-30,Exit,Sell,1088.2,0.0,0.0,13,5
