Company,Token,Lot_Size
ADANIPORTS,3861249,2500
ASIANPAINT,60417,600
AXISBANK,1510401,1200
BAJAJ-AUTO,4267265,250
BAJFINANCE,81153,250
BAJAJFINSV,4268801,125
BPCL,134657,1800
BHARTIARTL,2714625,1851
INFRATEL,7458561,2000
BRITANNIA,140033,200
CIPLA,177665,1000
COALINDIA,5215745,2200
DRREDDY,225537,250
EICHERMOT,232961,25
GAIL,1207553,5334
GRASIM,315393,750
HCLTECH,1850625,700
HDFCBANK,341249,250
HEROMOTOCO,345089,200
HINDALCO,348929,3500
HINDUNILVR,356865,300
HDFC,340481,500
ICICIBANK,1270529,1375
ITC,424961,2400
IBULHSGFIN,7712001,800
IOC,415745,3500
INDUSINDBK,1346049,400
INFY,408065,1200
JSWSTEEL,3001089,2000
KOTAKBANK,492033,400
LT,2939649,375
M&M,519937,1000
MARUTI,2815745,75
NTPC,2977281,4800
ONGC,633601,3750
POWERGRID,3834113,4000
RELIANCE,738561,500
SBIN,779521,3000
SUNPHARMA,857857,1100
TCS,2953217,250
TATAMOTORS,884737,3000
TATASTEEL,895745,1061
TECHM,3465729,1200
TITAN,897537,750
UPL,2889473,900
ULTRACEMCO,2952193,200
VEDL,784129,3000
WIPRO,969473,3200
YESBANK,3050241,2200
ZEEL,975873,1300
