Company,Profit,Trades,Net_Profit
ZEEL,0.3999999999999204,3,-80.00000000010346
COALINDIA,-7.900000000000006,5,-18380.00000000001
IBULHSGFIN,-9.199999999999989,1,-7559.999999999991
SBIN,10.399999999999807,13,28599.99999999942
VEDL,-0.30000000000001137,2,-1300.000000000034
Total,,24,1279.9999999992856
