Company,Profit,Trades,Net_Profit
IBULHSGFIN,4.599999999999966,1,3479.9999999999727
ICICIBANK,2.3000000000000114,7,1762.5000000000155
BHARTIARTL,5.199999999999932,3,9025.199999999873
Total,,11,14267.699999999862
