Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,15,39,29700
ASIANPAINT,60417,600,58,36,27600
AXISBANK,1510401,1200,4,53,-5800
BAJAJ-AUTO,4267265,250,55,34,6950
BAJFINANCE,81153,250,257,47,54850
BAJAJFINSV,4268801,125,418,51,42050
BPCL,134657,1800,-3,39,-13200
BHARTIARTL,2714625,1851,-23,46,-51773
INFRATEL,7458561,2000,5,39,2200
BRITANNIA,140033,200,260,44,43200
CIPLA,177665,1000,31,38,23400
COALINDIA,5215745,2200,-6,61,-25400
DRREDDY,225537,250,91,36,15550
EICHERMOT,232961,25,-35,44,-9675
GAIL,1207553,5334,-8,42,-51072
GRASIM,315393,750,52,42,30600
HCLTECH,1850625,700,14,38,2200
HDFCBANK,341249,250,72,52,7600
HEROMOTOCO,345089,200,126,55,14200
HINDALCO,348929,3500,5,42,9100
HINDUNILVR,356865,300,-145,41,-51700
HDFC,340481,500,-109,52,-64900
ICICIBANK,1270529,1375,13,57,6475
ITC,424961,2400,15,62,23600
IBULHSGFIN,7712001,800,83,52,56000
IOC,415745,3500,4,41,5800
INDUSINDBK,1346049,400,43,52,6800
INFY,408065,1200,30,33,29400
JSWSTEEL,3001089,2000,9,55,7000
KOTAKBANK,492033,400,33,49,3400
LT,2939649,375,55,40,12625
M&M,519937,1000,38,67,24600
MARUTI,2815745,75,323,38,16625
NTPC,2977281,4800,3,38,6800
ONGC,633601,3750,1,56,-7450
POWERGRID,3834113,4000,6,40,16000
RELIANCE,738561,500,38,46,9800
SBIN,779521,3000,30,61,77800
SUNPHARMA,857857,1100,0,51,-10200
TCS,2953217,250,76,57,7600
TATAMOTORS,884737,3000,-21,55,-74000
TATASTEEL,895745,1061,26,54,16786
TECHM,3465729,1200,18,46,12400
TITAN,897537,750,126,44,85700
UPL,2889473,900,-15,44,-22300
ULTRACEMCO,2952193,200,-92,39,-26200
VEDL,784129,3000,-8,45,-33000
WIPRO,969473,3200,6,23,14600
YESBANK,3050241,2200,2,60,-7600
ZEEL,975873,1300,18,62,11000
