Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,-5,56,-23700
ASIANPAINT,60417,600,-28,52,-27200
AXISBANK,1510401,1200,-31,59,-49000
BAJAJ-AUTO,4267265,250,-32,31,-14200
BAJFINANCE,81153,250,126,50,21500
BAJAJFINSV,4268801,125,99,49,2575
BPCL,134657,1800,0,51,-10200
BHARTIARTL,2714625,1851,-13,36,-31263
INFRATEL,7458561,2000,9,47,8600
BRITANNIA,140033,200,218,51,33400
CIPLA,177665,1000,-15,41,-23200
COALINDIA,5215745,2200,1,59,-9600
DRREDDY,225537,250,167,40,33750
EICHERMOT,232961,25,924,47,13700
GAIL,1207553,5334,-2,46,-19868
GRASIM,315393,750,44,63,20400
HCLTECH,1850625,700,-31,29,-27500
HDFCBANK,341249,250,0,37,-7400
HEROMOTOCO,345089,200,-43,41,-16800
HINDALCO,348929,3500,4,48,4400
HINDUNILVR,356865,300,-83,44,-33700
HDFC,340481,500,-48,42,-32400
ICICIBANK,1270529,1375,-15,49,-30425
ITC,424961,2400,3,34,400
IBULHSGFIN,7712001,800,78,60,50400
IOC,415745,3500,6,47,11600
INDUSINDBK,1346049,400,22,61,-3400
INFY,408065,1200,6,41,-1000
JSWSTEEL,3001089,2000,25,61,37800
KOTAKBANK,492033,400,-29,36,-18800
LT,2939649,375,30,32,4850
M&M,519937,1000,-15,50,-25000
MARUTI,2815745,75,467,51,24825
NTPC,2977281,4800,0,52,-10400
ONGC,633601,3750,-10,78,-53100
POWERGRID,3834113,4000,-6,45,-33000
RELIANCE,738561,500,-20,43,-18600
SBIN,779521,3000,0,52,-10400
SUNPHARMA,857857,1100,-6,69,-20400
TCS,2953217,250,82,40,12500
TATAMOTORS,884737,3000,8,53,13400
TATASTEEL,895745,1061,0,60,-12000
TECHM,3465729,1200,21,38,17600
TITAN,897537,750,-9,43,-15350
UPL,2889473,900,-10,40,-17000
ULTRACEMCO,2952193,200,164,50,22800
VEDL,784129,3000,5,78,-600
WIPRO,969473,3200,7,38,14800
YESBANK,3050241,2200,20,52,33600
ZEEL,975873,1300,11,57,2900
