Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,69,91,154300
ASIANPAINT,60417,600,41,103,4000
AXISBANK,1510401,1200,137,79,148600
BAJAJ-AUTO,4267265,250,-49,57,-23650
BAJFINANCE,81153,250,13,66,-9950
BAJAJFINSV,4268801,125,705,70,74125
BPCL,134657,1800,32,77,42200
BHARTIARTL,2714625,1851,51,66,81201
INFRATEL,7458561,2000,28,53,45400
BRITANNIA,140033,200,375,73,60400
CIPLA,177665,1000,31,50,21000
COALINDIA,5215745,2200,29,78,48200
DRREDDY,225537,250,143,84,18950
EICHERMOT,232961,25,1968,71,35000
GAIL,1207553,5334,1,63,-7266
GRASIM,315393,750,87,74,50450
HCLTECH,1850625,700,75,92,34100
HDFCBANK,341249,250,115,59,16950
HEROMOTOCO,345089,200,298,76,44400
HINDALCO,348929,3500,33,112,93100
HINDUNILVR,356865,300,68,94,1600
HDFC,340481,500,207,53,92900
ICICIBANK,1270529,1375,8,79,-4800
ITC,424961,2400,16,68,24800
IBULHSGFIN,7712001,800,159,88,109600
IOC,415745,3500,12,65,29000
INDUSINDBK,1346049,400,162,104,44000
INFY,408065,1200,37,56,33200
JSWSTEEL,3001089,2000,37,103,53400
KOTAKBANK,492033,400,-19,81,-23800
LT,2939649,375,209,70,64375
M&M,519937,1000,65,83,48400
MARUTI,2815745,75,542,75,25650
NTPC,2977281,4800,10,63,35400
ONGC,633601,3750,0,40,-8000
POWERGRID,3834113,4000,18,73,57400
RELIANCE,738561,500,107,78,37900
SBIN,779521,3000,36,113,85400
SUNPHARMA,857857,1100,55,89,42700
TCS,2953217,250,142,65,22500
TATAMOTORS,884737,3000,34,100,82000
TATASTEEL,895745,1061,24,92,7064
TECHM,3465729,1200,81,69,83400
TITAN,897537,750,-24,56,-29200
UPL,2889473,900,64,75,42600
ULTRACEMCO,2952193,200,285,76,41800
VEDL,784129,3000,21,92,44600
WIPRO,969473,3200,2,75,-8600
YESBANK,3050241,2200,20,57,32600
ZEEL,975873,1300,79,70,88700
