Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,15,47,28100
ASIANPAINT,60417,600,-12,42,-15600
AXISBANK,1510401,1200,-29,55,-45800
BAJAJ-AUTO,4267265,250,-97,39,-32050
BAJFINANCE,81153,250,75,40,10750
BAJAJFINSV,4268801,125,-72,53,-19600
BPCL,134657,1800,-25,66,-58200
BHARTIARTL,2714625,1851,43,56,68393
INFRATEL,7458561,2000,42,56,72800
BRITANNIA,140033,200,-127,39,-33200
CIPLA,177665,1000,23,34,16200
COALINDIA,5215745,2200,11,51,14000
DRREDDY,225537,250,109,37,19850
EICHERMOT,232961,25,246,42,-2250
GAIL,1207553,5334,8,60,30672
GRASIM,315393,750,-8,44,-14800
HCLTECH,1850625,700,-94,44,-74600
HDFCBANK,341249,250,8,46,-7200
HEROMOTOCO,345089,200,130,57,14600
HINDALCO,348929,3500,9,57,20100
HINDUNILVR,356865,300,102,43,22000
HDFC,340481,500,-117,37,-65900
ICICIBANK,1270529,1375,44,50,50500
ITC,424961,2400,2,44,-4000
IBULHSGFIN,7712001,800,-21,75,-31800
IOC,415745,3500,-1,40,-11500
INDUSINDBK,1346049,400,119,37,40200
INFY,408065,1200,27,36,25200
JSWSTEEL,3001089,2000,19,63,25400
KOTAKBANK,492033,400,3,36,-6000
LT,2939649,375,28,39,2700
M&M,519937,1000,0,54,-10800
MARUTI,2815745,75,457,53,23675
NTPC,2977281,4800,-1,50,-14800
ONGC,633601,3750,-3,46,-20450
POWERGRID,3834113,4000,-5,29,-25800
RELIANCE,738561,500,59,41,21300
SBIN,779521,3000,30,54,79200
SUNPHARMA,857857,1100,48,44,44000
TCS,2953217,250,-40,54,-20800
TATAMOTORS,884737,3000,15,79,29200
TATASTEEL,895745,1061,14,60,2854
TECHM,3465729,1200,-49,35,-65800
TITAN,897537,750,-68,32,-57400
UPL,2889473,900,-31,44,-36700
ULTRACEMCO,2952193,200,172,42,26000
VEDL,784129,3000,-14,62,-54400
WIPRO,969473,3200,-4,28,-18400
YESBANK,3050241,2200,2,72,-10000
ZEEL,975873,1300,31,61,28100
