Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,4,44,1200
ASIANPAINT,60417,600,1,27,-4800
AXISBANK,1510401,1200,-31,52,-47600
BAJAJ-AUTO,4267265,250,67,39,8950
BAJFINANCE,81153,250,-48,38,-19600
BAJAJFINSV,4268801,125,173,45,12625
BPCL,134657,1800,22,32,33200
BHARTIARTL,2714625,1851,22,59,28922
INFRATEL,7458561,2000,14,40,20000
BRITANNIA,140033,200,163,32,26200
CIPLA,177665,1000,-5,42,-13400
COALINDIA,5215745,2200,6,23,8600
DRREDDY,225537,250,0,33,-6600
EICHERMOT,232961,25,897,43,13825
GAIL,1207553,5334,7,53,26738
GRASIM,315393,750,47,50,25250
HCLTECH,1850625,700,16,40,3200
HDFCBANK,341249,250,18,38,-3100
HEROMOTOCO,345089,200,-45,45,-18000
HINDALCO,348929,3500,17,56,48300
HINDUNILVR,356865,300,5,34,-5300
HDFC,340481,500,4,54,-8800
ICICIBANK,1270529,1375,13,43,9275
ITC,424961,2400,-14,51,-43800
IBULHSGFIN,7712001,800,0,65,-13000
IOC,415745,3500,10,48,25400
INDUSINDBK,1346049,400,64,72,11200
INFY,408065,1200,7,40,400
JSWSTEEL,3001089,2000,7,55,3000
KOTAKBANK,492033,400,-36,52,-24800
LT,2939649,375,34,44,3950
M&M,519937,1000,23,49,13200
MARUTI,2815745,75,158,41,3650
NTPC,2977281,4800,-3,26,-19600
ONGC,633601,3750,7,42,17850
POWERGRID,3834113,4000,-3,42,-20400
RELIANCE,738561,500,5,45,-6500
SBIN,779521,3000,5,73,400
SUNPHARMA,857857,1100,-3,62,-15700
TCS,2953217,250,-92,42,-31400
TATAMOTORS,884737,3000,0,56,-11200
TATASTEEL,895745,1061,-13,72,-28193
TECHM,3465729,1200,-20,34,-30800
TITAN,897537,750,-5,45,-12750
UPL,2889473,900,-22,45,-28800
ULTRACEMCO,2952193,200,97,38,11800
VEDL,784129,3000,-2,65,-19000
WIPRO,969473,3200,2,34,-400
YESBANK,3050241,2200,3,89,-11200
ZEEL,975873,1300,15,45,10500
