Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,11,36,20300
ASIANPAINT,60417,600,-46,29,-33400
AXISBANK,1510401,1200,1,36,-6000
BAJAJ-AUTO,4267265,250,156,24,34200
BAJFINANCE,81153,250,113,31,22050
BAJAJFINSV,4268801,125,51,32,-25
BPCL,134657,1800,-11,36,-27000
BHARTIARTL,2714625,1851,6,30,5106
INFRATEL,7458561,2000,-2,41,-12200
BRITANNIA,140033,200,-94,27,-24200
CIPLA,177665,1000,-7,46,-16200
COALINDIA,5215745,2200,8,38,10000
DRREDDY,225537,250,30,32,1100
EICHERMOT,232961,25,-768,26,-24400
GAIL,1207553,5334,7,30,31338
GRASIM,315393,750,-18,50,-23500
HCLTECH,1850625,700,12,24,3600
HDFCBANK,341249,250,-13,31,-9450
HEROMOTOCO,345089,200,61,28,6600
HINDALCO,348929,3500,-2,50,-17000
HINDUNILVR,356865,300,-18,19,-9200
HDFC,340481,500,87,32,37100
ICICIBANK,1270529,1375,5,39,-925
ITC,424961,2400,1,26,-2800
IBULHSGFIN,7712001,800,-1,34,-7600
IOC,415745,3500,-5,33,-24100
INDUSINDBK,1346049,400,100,32,33600
INFY,408065,1200,-23,34,-34400
JSWSTEEL,3001089,2000,9,39,10200
KOTAKBANK,492033,400,7,34,-4000
LT,2939649,375,59,35,15125
M&M,519937,1000,7,32,600
MARUTI,2815745,75,-106,41,-16150
NTPC,2977281,4800,-1,27,-10200
ONGC,633601,3750,3,34,4450
POWERGRID,3834113,4000,3,27,6600
RELIANCE,738561,500,22,32,4600
SBIN,779521,3000,-9,48,-36600
SUNPHARMA,857857,1100,0,43,-8600
TCS,2953217,250,-27,30,-12750
TATAMOTORS,884737,3000,-4,33,-18600
TATASTEEL,895745,1061,-2,26,-7322
TECHM,3465729,1200,15,28,12400
TITAN,897537,750,-63,32,-53650
UPL,2889473,900,-20,27,-23400
ULTRACEMCO,2952193,200,-98,34,-26400
VEDL,784129,3000,-11,43,-41600
WIPRO,969473,3200,8,33,19000
YESBANK,3050241,2200,1,41,-6000
ZEEL,975873,1300,25,44,23700
