,date,open,high,low,close,volume
0,2019-10-01 09:15:00+05:30,2715.7,2738.9,2710.1,2720.95,47296
1,2019-10-01 09:20:00+05:30,2721.5,2736.35,2720.25,2728.4,20681
2,2019-10-01 09:25:00+05:30,2728.4,2734.9,2725.25,2729.15,11790
3,2019-10-01 09:30:00+05:30,2729.15,2737.95,2717.3,2720.0,21575
4,2019-10-01 09:35:00+05:30,2720.0,2720.0,2693.65,2699.75,36616
5,2019-10-01 09:40:00+05:30,2697.5,2704.95,2690.15,2701.35,18488
6,2019-10-01 09:45:00+05:30,2698.5,2701.35,2690.0,2695.55,12351
7,2019-10-01 09:50:00+05:30,2696.9,2698.8,2683.0,2685.6,20797
8,2019-10-01 09:55:00+05:30,2687.2,2693.8,2685.0,2686.0,11341
9,2019-10-01 10:00:00+05:30,2686.0,2691.9,2677.6,2684.4,14476
10,2019-10-01 10:05:00+05:30,2684.4,2688.8,2681.55,2684.7,5425
11,2019-10-01 10:10:00+05:30,2684.65,2701.65,2682.75,2697.0,15937
12,2019-10-01 10:15:00+05:30,2698.65,2708.8,2697.25,2698.9,12535
13,2019-10-01 10:20:00+05:30,2698.9,2700.65,2691.25,2697.0,6589
14,2019-10-01 10:25:00+05:30,2695.5,2702.35,2694.0,2698.9,6259
15,2019-10-01 10:30:00+05:30,2699.0,2701.9,2695.1,2700.55,6687
16,2019-10-01 10:35:00+05:30,2700.55,2704.75,2695.35,2700.0,7465
17,2019-10-01 10:40:00+05:30,2699.7,2703.0,2697.3,2699.7,7458
18,2019-10-01 10:45:00+05:30,2699.5,2710.85,2698.0,2710.45,13934
19,2019-10-01 10:50:00+05:30,2710.85,2713.55,2703.05,2709.8,15989
20,2019-10-01 10:55:00+05:30,2709.8,2713.95,2700.9,2703.05,15555
21,2019-10-01 11:00:00+05:30,2703.05,2709.0,2701.3,2707.15,12023
22,2019-10-01 11:05:00+05:30,2707.15,2708.0,2700.3,2704.9,13817
23,2019-10-01 11:10:00+05:30,2706.2,2707.5,2693.05,2695.9,13962
24,2019-10-01 11:15:00+05:30,2695.9,2699.0,2692.0,2699.0,4021
25,2019-10-01 11:20:00+05:30,2698.1,2702.0,2695.0,2696.75,5331
26,2019-10-01 11:25:00+05:30,2698.0,2699.95,2692.55,2699.05,5420
27,2019-10-01 11:30:00+05:30,2700.5,2701.5,2696.45,2699.0,4644
28,2019-10-01 11:35:00+05:30,2699.0,2703.0,2695.6,2695.7,3962
29,2019-10-01 11:40:00+05:30,2696.0,2701.0,2695.6,2699.95,3574
30,2019-10-01 11:45:00+05:30,2699.95,2699.95,2693.95,2698.65,3770
31,2019-10-01 11:50:00+05:30,2698.6,2700.75,2696.7,2698.0,3929
32,2019-10-01 11:55:00+05:30,2698.0,2702.0,2694.0,2697.35,5780
33,2019-10-01 12:00:00+05:30,2697.35,2698.9,2693.0,2693.75,3315
34,2019-10-01 12:05:00+05:30,2693.75,2699.0,2693.45,2694.0,5018
35,2019-10-01 12:10:00+05:30,2693.7,2693.7,2686.85,2690.6,8816
36,2019-10-01 12:15:00+05:30,2690.6,2693.0,2684.9,2684.95,5314
37,2019-10-01 12:20:00+05:30,2684.95,2689.55,2676.05,2688.75,12977
