order_id,transaction_type,price,stoploss,target,status,semi-target_status,target_status,stoploss_status,day_high,day_low
2,BUY,290.8,287.0,292.9,,0,0,1,292.0,287.0
3,SELL,287.0,292.0,283.6,,0,0,1,292.0,284.7
4,BUY,292.0,284.7,293.9,,0,1,0,295.0,284.7
