Close,Date,DatePart,Day_High,Day_Low,High,Hour,Long_Count,Low,Minute,Open,Order_Price,Order_Signal,Order_Status,Profit,Short_Count,Stop_Loss,Target,Trade_Count,Volume,Year
290.75,2019-11-08 09:15:00,2019-11-08,0.0,0.0,291.2,9,0.0,287.0,15,287.0,290.8,BUY,Entry,0.0,0.0,287.0,292.9,0.0,771247.0,2019
286.8,2019-11-08 10:45:00,2019-11-08,0.0,0.0,289.1,10,0.0,286.15,45,289.0,287.0,SELL,Exit,0.0,0.0,292.0,283.6,0.0,281774.0,2019
291.1,2019-11-08 12:55:00,2019-11-08,0.0,0.0,292.25,12,0.0,290.1,55,291.8,292.0,BUY,Exit,0.0,0.0,284.7,293.9,0.0,451209.0,2019
294.3,2019-11-08 14:15:00,2019-11-08,0.0,0.0,294.8,14,0.0,290.75,15,291.0,293.9,SELL,Exit,0.0,0.0,0.0,0.0,0.0,815857.0,2019
