Date,Open,High,Low,Close,Volume,DatePart,Year,S1_Pivot_Simple,S2_Pivot_Simple,R1_Pivot_Simple,R2_Pivot_Simple,Day_High,Day_Low,Day_Open,Day_Close,PivotPoint,S1_Pivot_Fibonacci,S2_Pivot_Fibonacci,R1_Pivot_Fibonacci,R2_Pivot_Fibonacci,S3_Pivot_Fibonacci,R3_Pivot_Fibonacci,Order_Status,Order_Signal,Order_Price,Target,Stop_Loss,Hour,Minute
2019-03-06 09:15:00,1864.7,1872.9,1863.15,1872.9,113217,2019-03-06,2019,1842.9499999999998,1825.85,1872.7499999999998,1885.4499999999998,1868.35,1838.55,1856.8,1860.05,1855.6499999999999,1844.2664,1837.2335999999998,1867.0335999999998,1874.0664,1796.05,1915.2499999999998,,,0.0,0.0,0.0,9,15
2019-03-06 09:20:00,1872.9,1873.15,1867.1,1869.3,63749,2019-03-06,2019,1842.9499999999998,1825.85,1872.7499999999998,1885.4499999999998,1868.35,1838.55,1856.8,1860.05,1855.6499999999999,1844.2664,1837.2335999999998,1867.0335999999998,1874.0664,1796.05,1915.2499999999998,,,0.0,0.0,0.0,9,20
2019-03-06 09:25:00,1869.3,1873.35,1868.55,1872.3,39641,2019-03-06,2019,1842.9499999999998,1825.85,1872.7499999999998,1885.4499999999998,1868.35,1838.55,1856.8,1860.05,1855.6499999999999,1844.2664,1837.2335999999998,1867.0335999999998,1874.0664,1796.05,1915.2499999999998,,,0.0,0.0,0.0,9,25
2019-03-06 09:30:00,1872.3,1872.35,1867.55,1868.4,29661,2019-03-06,2019,1842.9499999999998,1825.85,1872.7499999999998,1885.4499999999998,1868.35,1838.55,1856.8,1860.05,1855.6499999999999,1844.2664,1837.2335999999998,1867.0335999999998,1874.0664,1796.05,1915.2499999999998,,,0.0,0.0,0.0,9,30
2019-03-06 09:35:00,1868.35,1872.7,1868.0,1872.7,27127,2019-03-06,2019,1842.9499999999998,1825.85,1872.7499999999998,1885.4499999999998,1868.35,1838.55,1856.8,1860.05,1855.6499999999999,1844.2664,1837.2335999999998,1867.0335999999998,1874.0664,1796.05,1915.2499999999998,,,0.0,0.0,0.0,9,35
2019-03-06 09:40:00,1871.4,1873.0,1868.05,1869.85,25780,2019-03-06,2019,1842.9499999999998,1825.85,1872.7499999999998,1885.4499999999998,1868.35,1838.55,1856.8,1860.05,1855.6499999999999,1844.2664,1837.2335999999998,1867.0335999999998,1874.0664,1796.05,1915.2499999999998,,,0.0,0.0,0.0,9,40
2019-03-06 09:45:00,1869.7,1870.05,1867.0,1867.95,18089,2019-03-06,2019,1842.9499999999998,1825.85,1872.7499999999998,1885.4499999999998,1868.35,1838.55,1856.8,1860.05,1855.6499999999999,1844.2664,1837.2335999999998,1867.0335999999998,1874.0664,1796.05,1915.2499999999998,,,0.0,0.0,0.0,9,45
2019-03-06 09:50:00,1867.95,1868.7,1866.5,1868.35,23103,2019-03-06,2019,1842.9499999999998,1825.85,1872.7499999999998,1885.4499999999998,1868.35,1838.55,1856.8,1860.05,1855.6499999999999,1844.2664,1837.2335999999998,1867.0335999999998,1874.0664,1796.05,1915.2499999999998,,,0.0,0.0,0.0,9,50
2019-03-06 09:55:00,1868.35,1871.6,1867.2,1871.6,16341,2019-03-06,2019,1842.9499999999998,1825.85,1872.7499999999998,1885.4499999999998,1868.35,1838.55,1856.8,1860.05,1855.6499999999999,1844.2664,1837.2335999999998,1867.0335999999998,1874.0664,1796.05,1915.2499999999998,,,0.0,0.0,0.0,9,55
2019-03-06 10:00:00,1871.6,1873.25,1871.15,1872.0,18682,2019-03-06,2019,1842.9499999999998,1825.85,1872.7499999999998,1885.4499999999998,1868.35,1838.55,1856.8,1860.05,1855.6499999999999,1844.2664,1837.2335999999998,1867.0335999999998,1874.0664,1796.05,1915.2499999999998,,,0.0,0.0,0.0,10,0
