Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,17,76,27300
ASIANPAINT,60417,600,-33,84,-36600
AXISBANK,1510401,1200,85,41,93800
BAJAJ-AUTO,4267265,250,-45,51,-21450
BAJFINANCE,81153,250,101,71,11050
BAJAJFINSV,4268801,125,663,57,71475
BPCL,134657,1800,25,60,33000
BHARTIARTL,2714625,1851,21,54,28071
INFRATEL,7458561,2000,21,43,33400
BRITANNIA,140033,200,247,54,38600
CIPLA,177665,1000,11,50,1000
COALINDIA,5215745,2200,11,56,13000
DRREDDY,225537,250,4,65,-12000
EICHERMOT,232961,25,2137,48,43825
GAIL,1207553,5334,-1,55,-16334
GRASIM,315393,750,37,64,14950
HCLTECH,1850625,700,12,60,-3600
HDFCBANK,341249,250,55,50,3750
HEROMOTOCO,345089,200,232,53,35800
HINDALCO,348929,3500,-7,90,-42500
HINDUNILVR,356865,300,-86,83,-42400
HDFC,340481,500,197,40,90500
ICICIBANK,1270529,1375,-6,59,-20050
ITC,424961,2400,14,58,22000
IBULHSGFIN,7712001,800,128,98,82800
IOC,415745,3500,7,50,14500
INDUSINDBK,1346049,400,25,81,-6200
INFY,408065,1200,18,42,13200
JSWSTEEL,3001089,2000,26,89,34200
KOTAKBANK,492033,400,-87,62,-47200
LT,2939649,375,224,54,73200
M&M,519937,1000,18,55,7000
MARUTI,2815745,75,111,61,-3875
NTPC,2977281,4800,-2,56,-20800
ONGC,633601,3750,-9,38,-41350
POWERGRID,3834113,4000,6,57,12600
RELIANCE,738561,500,32,61,3800
SBIN,779521,3000,29,69,73200
SUNPHARMA,857857,1100,13,95,-4700
TCS,2953217,250,98,51,14300
TATAMOTORS,884737,3000,18,68,40400
TATASTEEL,895745,1061,39,66,28179
TECHM,3465729,1200,6,59,-4600
TITAN,897537,750,3,56,-8950
UPL,2889473,900,24,71,7400
ULTRACEMCO,2952193,200,285,58,45400
VEDL,784129,3000,9,57,15600
WIPRO,969473,3200,0,70,-14000
YESBANK,3050241,2200,22,74,33600
ZEEL,975873,1300,67,68,73500
