Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,42,59,93200
ASIANPAINT,60417,600,109,53,54800
AXISBANK,1510401,1200,-13,65,-28600
BAJAJ-AUTO,4267265,250,159,39,31950
BAJFINANCE,81153,250,-23,41,-13950
BAJAJFINSV,4268801,125,628,66,65300
BPCL,134657,1800,47,65,71600
BHARTIARTL,2714625,1851,14,48,16314
INFRATEL,7458561,2000,11,27,16600
BRITANNIA,140033,200,120,44,15200
CIPLA,177665,1000,43,70,29000
COALINDIA,5215745,2200,2,61,-7800
DRREDDY,225537,250,51,57,1350
EICHERMOT,232961,25,-1825,51,-55825
GAIL,1207553,5334,5,55,15670
GRASIM,315393,750,121,53,80150
HCLTECH,1850625,700,30,45,12000
HDFCBANK,341249,250,73,57,6850
HEROMOTOCO,345089,200,79,58,4200
HINDALCO,348929,3500,13,68,31900
HINDUNILVR,356865,300,-131,59,-51100
HDFC,340481,500,38,53,8400
ICICIBANK,1270529,1375,-6,72,-22650
ITC,424961,2400,-12,53,-39400
IBULHSGFIN,7712001,800,89,70,57200
IOC,415745,3500,5,75,2500
INDUSINDBK,1346049,400,172,56,57600
INFY,408065,1200,14,42,8400
JSWSTEEL,3001089,2000,-5,90,-28000
KOTAKBANK,492033,400,66,61,14200
LT,2939649,375,58,93,3150
M&M,519937,1000,-10,63,-22600
MARUTI,2815745,75,-70,40,-13250
NTPC,2977281,4800,-12,47,-67000
ONGC,633601,3750,0,44,-8800
POWERGRID,3834113,4000,14,42,47600
RELIANCE,738561,500,-58,50,-39000
SBIN,779521,3000,-21,76,-78200
SUNPHARMA,857857,1100,35,72,24100
TCS,2953217,250,69,65,4250
TATAMOTORS,884737,3000,3,77,-6400
TATASTEEL,895745,1061,-3,75,-18183
TECHM,3465729,1200,43,45,42600
TITAN,897537,750,104,55,67000
UPL,2889473,900,14,56,1400
ULTRACEMCO,2952193,200,198,46,30400
VEDL,784129,3000,-2,62,-18400
WIPRO,969473,3200,-2,43,-15000
YESBANK,3050241,2200,33,73,58000
ZEEL,975873,1300,104,79,119400
