Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,26,38,57400
ASIANPAINT,60417,600,-102,38,-68800
AXISBANK,1510401,1200,-12,39,-22200
BAJAJ-AUTO,4267265,250,-107,37,-34150
BAJFINANCE,81153,250,340,43,76400
BAJAJFINSV,4268801,125,474,41,51050
BPCL,134657,1800,25,58,33400
BHARTIARTL,2714625,1851,-22,49,-50522
INFRATEL,7458561,2000,-11,52,-32400
BRITANNIA,140033,200,-65,38,-20600
CIPLA,177665,1000,-30,55,-41000
COALINDIA,5215745,2200,7,42,7000
DRREDDY,225537,250,237,35,52250
EICHERMOT,232961,25,2557,52,53525
GAIL,1207553,5334,-3,54,-26802
GRASIM,315393,750,-48,54,-46800
HCLTECH,1850625,700,19,37,5900
HDFCBANK,341249,250,-23,48,-15350
HEROMOTOCO,345089,200,51,47,800
HINDALCO,348929,3500,8,42,19600
HINDUNILVR,356865,300,30,38,1400
HDFC,340481,500,48,50,14000
ICICIBANK,1270529,1375,8,54,200
ITC,424961,2400,6,45,5400
IBULHSGFIN,7712001,800,-9,64,-20000
IOC,415745,3500,8,38,20400
INDUSINDBK,1346049,400,54,36,14400
INFY,408065,1200,22,42,18000
JSWSTEEL,3001089,2000,-2,64,-16800
KOTAKBANK,492033,400,133,50,43200
LT,2939649,375,-83,56,-42325
M&M,519937,1000,54,71,39800
MARUTI,2815745,75,114,50,-1450
NTPC,2977281,4800,8,45,29400
ONGC,633601,3750,4,46,5800
POWERGRID,3834113,4000,15,49,50200
RELIANCE,738561,500,-19,37,-16900
SBIN,779521,3000,20,63,47400
SUNPHARMA,857857,1100,0,61,-12200
TCS,2953217,250,96,53,13400
TATAMOTORS,884737,3000,12,64,23200
TATASTEEL,895745,1061,73,85,60453
TECHM,3465729,1200,-3,43,-12200
TITAN,897537,750,-26,39,-27300
UPL,2889473,900,-18,41,-24400
ULTRACEMCO,2952193,200,151,43,21600
VEDL,784129,3000,16,39,40200
WIPRO,969473,3200,2,43,-2200
YESBANK,3050241,2200,10,74,7200
ZEEL,975873,1300,-34,53,-54800
