Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,28,53,59400
ASIANPAINT,60417,600,-8,50,-14800
AXISBANK,1510401,1200,79,34,88000
BAJAJ-AUTO,4267265,250,-90,41,-30700
BAJFINANCE,81153,250,-2,47,-9900
BAJAJFINSV,4268801,125,673,42,75725
BPCL,134657,1800,5,38,1400
BHARTIARTL,2714625,1851,11,33,13761
INFRATEL,7458561,2000,30,29,54200
BRITANNIA,140033,200,128,41,17400
CIPLA,177665,1000,-4,34,-10800
COALINDIA,5215745,2200,12,29,20600
DRREDDY,225537,250,-101,43,-33850
EICHERMOT,232961,25,1082,38,19450
GAIL,1207553,5334,-5,33,-33270
GRASIM,315393,750,21,47,6350
HCLTECH,1850625,700,29,51,10100
HDFCBANK,341249,250,31,34,950
HEROMOTOCO,345089,200,131,40,18200
HINDALCO,348929,3500,-11,49,-48300
HINDUNILVR,356865,300,-13,49,-13700
HDFC,340481,500,44,32,15600
ICICIBANK,1270529,1375,-22,39,-38050
ITC,424961,2400,8,42,10800
IBULHSGFIN,7712001,800,39,46,22000
IOC,415745,3500,2,31,800
INDUSINDBK,1346049,400,-69,48,-37200
INFY,408065,1200,18,31,15400
JSWSTEEL,3001089,2000,9,41,9800
KOTAKBANK,492033,400,-76,45,-39400
LT,2939649,375,130,39,40950
M&M,519937,1000,-34,36,-41200
MARUTI,2815745,75,438,44,24050
NTPC,2977281,4800,-1,49,-14600
ONGC,633601,3750,-9,27,-39150
POWERGRID,3834113,4000,4,40,8000
RELIANCE,738561,500,-11,41,-13700
SBIN,779521,3000,4,57,600
SUNPHARMA,857857,1100,-10,48,-20600
TCS,2953217,250,73,37,10850
TATAMOTORS,884737,3000,6,37,10600
TATASTEEL,895745,1061,6,46,-2834
TECHM,3465729,1200,6,36,0
TITAN,897537,750,-67,45,-59250
UPL,2889473,900,-31,42,-36300
ULTRACEMCO,2952193,200,163,48,23000
VEDL,784129,3000,9,44,18200
WIPRO,969473,3200,-6,50,-29200
YESBANK,3050241,2200,3,43,-2000
ZEEL,975873,1300,34,46,35000
