Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,-3,49,-17300
ASIANPAINT,60417,600,-128,37,-84200
AXISBANK,1510401,1200,23,51,17400
BAJAJ-AUTO,4267265,250,-313,55,-89250
BAJFINANCE,81153,250,71,54,6950
BAJAJFINSV,4268801,125,148,52,8100
BPCL,134657,1800,43,78,61800
BHARTIARTL,2714625,1851,-2,51,-13902
INFRATEL,7458561,2000,7,29,8200
BRITANNIA,140033,200,-73,42,-23000
CIPLA,177665,1000,2,62,-10400
COALINDIA,5215745,2200,-2,78,-20000
DRREDDY,225537,250,-54,43,-22100
EICHERMOT,232961,25,1075,46,17675
GAIL,1207553,5334,3,71,1802
GRASIM,315393,750,103,69,63450
HCLTECH,1850625,700,81,42,48300
HDFCBANK,341249,250,-34,52,-18900
HEROMOTOCO,345089,200,-6,52,-11600
HINDALCO,348929,3500,14,68,35400
HINDUNILVR,356865,300,76,54,12000
HDFC,340481,500,-46,67,-36400
ICICIBANK,1270529,1375,5,66,-6325
ITC,424961,2400,21,55,39400
IBULHSGFIN,7712001,800,170,86,118800
IOC,415745,3500,0,66,-13200
INDUSINDBK,1346049,400,83,60,21200
INFY,408065,1200,-3,40,-11600
JSWSTEEL,3001089,2000,16,82,15600
KOTAKBANK,492033,400,-79,61,-43800
LT,2939649,375,4,64,-11300
M&M,519937,1000,51,72,36600
MARUTI,2815745,75,570,52,32350
NTPC,2977281,4800,2,66,-3600
ONGC,633601,3750,-2,75,-22500
POWERGRID,3834113,4000,-2,57,-19400
RELIANCE,738561,500,34,58,5400
SBIN,779521,3000,11,79,17200
SUNPHARMA,857857,1100,7,50,-2300
TCS,2953217,250,-1,41,-8450
TATAMOTORS,884737,3000,11,72,18600
TATASTEEL,895745,1061,69,102,52809
TECHM,3465729,1200,41,51,39000
TITAN,897537,750,-63,57,-58650
UPL,2889473,900,53,76,32500
ULTRACEMCO,2952193,200,203,60,28600
VEDL,784129,3000,8,77,8600
WIPRO,969473,3200,-3,47,-19000
YESBANK,3050241,2200,18,68,26000
ZEEL,975873,1300,39,53,40100
