Date,Open,High,Low,Close,Volume,DatePart,Year,S1_Pivot_Simple,S2_Pivot_Simple,R1_Pivot_Simple,R2_Pivot_Simple,Day_High,Day_Low,Day_Open,Day_Close,PivotPoint,S1_Pivot_Fibonacci,S2_Pivot_Fibonacci,R1_Pivot_Fibonacci,R2_Pivot_Fibonacci,S3_Pivot_Fibonacci,R3_Pivot_Fibonacci,Order_Status,Order_Signal,Order_Price,Target,Stop_Loss,Hour,Minute
2019-06-06 09:15:00,497.65,502.0,496.65,501.85,328650,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,9,15
2019-06-06 09:20:00,501.65,502.55,498.8,499.8,278872,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,9,20
2019-06-06 09:25:00,499.65,499.8,496.65,497.35,175781,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,9,25
2019-06-06 09:30:00,497.35,497.5,495.4,496.8,158172,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,9,30
2019-06-06 09:35:00,496.5,498.8,496.5,498.3,145590,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,9,35
2019-06-06 09:40:00,498.2,498.25,497.05,497.55,91846,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,9,40
2019-06-06 09:45:00,497.35,497.55,494.35,494.65,261932,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,9,45
2019-06-06 09:50:00,494.65,494.7,493.0,493.35,217722,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,9,50
2019-06-06 09:55:00,493.1,494.3,492.05,493.85,185345,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,9,55
2019-06-06 10:00:00,493.9,494.85,493.0,494.65,89505,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,0
2019-06-06 10:05:00,494.65,494.8,493.2,493.3,65891,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,5
2019-06-06 10:10:00,493.3,494.85,493.1,494.55,64070,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,10
2019-06-06 10:15:00,493.5,493.7,491.6,492.7,234706,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,15
2019-06-06 10:20:00,492.65,492.9,491.5,491.6,144987,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,20
2019-06-06 10:25:00,491.55,492.25,491.5,491.9,62233,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,25
2019-06-06 10:30:00,491.9,492.3,491.55,492.0,54188,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,30
2019-06-06 10:35:00,491.8,492.3,491.75,492.0,52539,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,35
2019-06-06 10:40:00,491.95,492.45,491.6,491.85,59169,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,40
2019-06-06 10:45:00,491.8,492.05,490.8,492.0,94035,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,45
2019-06-06 10:50:00,491.95,492.5,491.9,492.1,65891,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,50
2019-06-06 10:55:00,492.1,492.2,491.7,492.0,30605,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,10,55
2019-06-06 11:00:00,492.0,492.7,491.8,492.2,54861,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,11,0
2019-06-06 11:05:00,492.2,492.2,491.45,492.0,53214,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,11,5
2019-06-06 11:10:00,491.85,492.5,491.75,491.95,40019,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,11,10
2019-06-06 11:15:00,491.95,492.5,491.4,491.45,30507,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,11,15
2019-06-06 11:20:00,491.45,492.45,491.4,491.9,24511,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,11,20
2019-06-06 11:25:00,491.9,492.3,491.4,491.8,39833,2019-06-06,2019,492.15,486.65,502.95,508.25,502.75,491.95,496.0,497.65,497.45,493.32439999999997,490.7756,501.5756,504.1244,475.84999999999997,519.05,,,0.0,0.0,0.0,11,25
