Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,33,51,72300
ASIANPAINT,60417,600,-32,31,-25400
AXISBANK,1510401,1200,18,47,12200
BAJAJ-AUTO,4267265,250,175,39,35950
BAJFINANCE,81153,250,107,44,17950
BAJAJFINSV,4268801,125,98,36,5050
BPCL,134657,1800,-5,61,-21200
BHARTIARTL,2714625,1851,30,51,45330
INFRATEL,7458561,2000,-3,46,-15200
BRITANNIA,140033,200,41,48,-1400
CIPLA,177665,1000,-19,56,-30200
COALINDIA,5215745,2200,14,49,21000
DRREDDY,225537,250,94,38,15900
EICHERMOT,232961,25,1004,30,19100
GAIL,1207553,5334,6,36,24804
GRASIM,315393,750,21,48,6150
HCLTECH,1850625,700,22,31,9200
HDFCBANK,341249,250,-11,40,-10750
HEROMOTOCO,345089,200,66,47,3800
HINDALCO,348929,3500,5,60,5500
HINDUNILVR,356865,300,25,23,2900
HDFC,340481,500,51,39,17700
ICICIBANK,1270529,1375,1,51,-8825
ITC,424961,2400,1,35,-4600
IBULHSGFIN,7712001,800,153,50,112400
IOC,415745,3500,-2,41,-15200
INDUSINDBK,1346049,400,161,45,55400
INFY,408065,1200,-25,37,-37400
JSWSTEEL,3001089,2000,7,75,-1000
KOTAKBANK,492033,400,15,40,-2000
LT,2939649,375,11,41,-4075
M&M,519937,1000,26,46,16800
MARUTI,2815745,75,-100,57,-18900
NTPC,2977281,4800,-6,44,-37600
ONGC,633601,3750,7,43,17650
POWERGRID,3834113,4000,5,35,13000
RELIANCE,738561,500,22,45,2000
SBIN,779521,3000,-7,59,-32800
SUNPHARMA,857857,1100,31,53,23500
TCS,2953217,250,16,37,-3400
TATAMOTORS,884737,3000,1,51,-7200
TATASTEEL,895745,1061,1,39,-6739
TECHM,3465729,1200,24,40,20800
TITAN,897537,750,-26,39,-27300
UPL,2889473,900,24,41,13400
ULTRACEMCO,2952193,200,-88,38,-25200
VEDL,784129,3000,-4,53,-22600
WIPRO,969473,3200,13,37,34200
YESBANK,3050241,2200,2,47,-5000
ZEEL,975873,1300,28,62,24000
