Company,Profit,Trades,Net_Profit
IBULHSGFIN,6.5,5,4200.0
INFRATEL,7.199999999999989,1,14199.999999999978
BHARTIARTL,2.2000000000000455,5,3072.2000000000844
Total,,11,21472.200000000063
