,local_order_id,order_id,order_type,parent_order_id,price,status,transaction_type,trigger_price
0,1,191126000755680,LIMIT,NA,274.6,COMPLETE,BUY,0
1,,191126001023048,LIMIT,191126000755680,277.2,OPEN,SELL,0.0
2,,191126001023049,SL,191126000755680,233.55,TRIGGER PENDING,SELL,265.0
0,2,191126001153255,LIMIT,NA,265.0,COMPLETE,SELL,0
1,,191126001709697,LIMIT,191126001153255,256.9,OPEN,BUY,0.0
2,,191126001709698,SL,191126001153255,285.35,TRIGGER PENDING,BUY,281.6
0,3,191126002601965,LIMIT,NA,263.7,COMPLETE,BUY,0
1,,191126002601998,LIMIT,191126002601965,277.2,OPEN,SELL,0.0
2,,191126002601999,SL,191126002601965,233.55,TRIGGER PENDING,SELL,260.5
0,4,191126002676163,LIMIT,NA,260.5,COMPLETE,SELL,0
1,,191126002676165,LIMIT,191126002676163,257.15,OPEN,BUY,0.0
2,,191126002676166,SL,191126002676163,285.35,TRIGGER PENDING,BUY,281.85
