,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,day_high,day_low,order_id,price,semi-target_status,status,stoploss,stoploss_status,target,target_status,transaction_type
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1437.0,1.0,1439.3,0,,1437.05,0,1449.1,0,BUY
1,1.0,1.0,1.0,1.0,0.0,,,1440.0,1433.4,2.0,1437.05,0,,1440.0,0,1426.1,0,SELL
0,,,,,,,,1440.0,1433.4,,1440.0,0,,1433.4,0,1449.1,0,BUY
