Company,Profit,Trades,Net_Profit
IBULHSGFIN,5.599999999999966,1,4279.999999999973
ZEEL,5.0,1,6300.0
YESBANK,-0.5000000000000142,3,-1700.0000000000314
Total,,5,8879.999999999942
