,average_price,cancelled_quantity,disclosed_quantity,exchange,exchange_order_id,exchange_timestamp,exchange_update_timestamp,filled_quantity,guid,instrument_token,market_protection,meta,order_id,order_timestamp,order_type,parent_order_id,pending_quantity,placed_by,price,product,quantity,status,status_message,status_message_raw,tag,tradingsymbol,transaction_type,trigger_price,validity,variety
0,312.6,0,0,NSE,1300000001008720,2019-11-28 09:25:07,2019-11-28 09:25:07,13,12499XIYwP6ZGuIkds,975873,0,{},191128000320288,2019-11-28 09:25:07,LIMIT,,0,UD8801,312.6,BO,13,COMPLETE,,,,ZEEL,SELL,0.0,DAY,bo
1,68.7,0,0,NSE,1300000001267950,2019-11-28 09:30:07,2019-11-28 09:30:07,22,12499XlONTp6zKCQiu,3050241,0,{},191128000410964,2019-11-28 09:30:07,LIMIT,,0,UD8801,68.6,BO,22,COMPLETE,,,,YESBANK,SELL,0.0,DAY,bo
2,282.6,0,0,NSE,1100000001072472,2019-11-28 09:35:07,2019-11-28 09:35:10,8,12499XjXd3r7eZRMzs,7712001,0,{},191128000498634,2019-11-28 09:35:10,LIMIT,,0,UD8801,282.6,BO,8,COMPLETE,,,,IBULHSGFIN,BUY,0.0,DAY,bo
3,0.0,22,22,NSE,1300000001267953,2019-11-28 09:37:30,2019-11-28 09:37:30,0,,3050241,0,{},191128000410971,2019-11-28 09:37:31,LIMIT,191128000410964,22,UD8801,67.7,BO,22,CANCELLED,,,,YESBANK,BUY,0.0,DAY,bo
4,69.9,0,0,NSE,1300000001267954,2019-11-28 09:37:30,2019-11-28 09:37:30,22,,3050241,0,{},191128000410972,2019-11-28 09:37:31,LIMIT,191128000410964,0,UD8801,75.05,BO,22,COMPLETE,,,,YESBANK,BUY,69.9,DAY,bo
5,69.9,0,0,NSE,1300000001605718,2019-11-28 09:37:40,2019-11-28 09:37:40,22,12499XHZ8rYWLJh2S8,3050241,0,{},191128000540809,2019-11-28 09:37:41,LIMIT,,0,UD8801,69.9,BO,22,COMPLETE,,,,YESBANK,BUY,0.0,DAY,bo
6,0.0,0,22,NSE,1300000001605720,2019-11-28 09:37:41,2019-11-28 09:37:41,0,,3050241,0,{},191128000540810,2019-11-28 09:37:41,LIMIT,191128000540809,22,UD8801,70.9,BO,22,OPEN,,,,YESBANK,SELL,0.0,DAY,bo
7,0.0,0,22,NSE,1300000001605721,2019-11-28 09:37:41,2019-11-28 09:37:41,0,,3050241,0,{},191128000540811,2019-11-28 09:37:41,SL,191128000540809,22,UD8801,61.45,BO,22,TRIGGER PENDING,,,,YESBANK,SELL,68.4,DAY,bo
8,288.2,0,0,NSE,1100000001074502,2019-11-28 09:35:10,2019-11-28 09:39:47,8,,7712001,0,{},191128000499500,2019-11-28 09:39:47,LIMIT,191128000498634,0,UD8801,288.2,BO,8,COMPLETE,,,,IBULHSGFIN,SELL,0.0,DAY,bo
9,0.0,8,8,NSE,1100000001074503,2019-11-28 09:39:47,2019-11-28 09:39:47,0,,7712001,0,{},191128000499501,2019-11-28 09:39:47,SL,191128000498634,8,UD8801,241.35,BO,8,CANCELLED,,,,IBULHSGFIN,SELL,272.2,DAY,bo
10,0.0,0,0,NSE,1100000001252644,2019-11-28 09:39:50,2019-11-28 09:39:50,0,12499XMl3l53SswO3h,7712001,0,{},191128000574022,2019-11-28 09:39:50,SL,,8,UD8801,272.2,BO,8,TRIGGER PENDING,,,,IBULHSGFIN,SELL,272.2,DAY,bo
11,307.6,0,0,NSE,1300000001009031,2019-11-28 09:25:07,2019-11-28 13:40:10,13,,975873,0,{},191128000320383,2019-11-28 13:40:10,LIMIT,191128000320288,0,UD8801,307.6,BO,13,COMPLETE,,,,ZEEL,BUY,0.0,DAY,bo
12,0.0,13,13,NSE,1300000001009032,2019-11-28 13:40:10,2019-11-28 13:40:10,0,,975873,0,{},191128000320384,2019-11-28 13:40:10,SL,191128000320288,13,UD8801,351.45,BO,13,CANCELLED,,,,ZEEL,BUY,311.35,DAY,bo
13,0.0,0,0,NSE,1300000006928767,2019-11-28 13:40:20,2019-11-28 13:40:20,0,12499XFA5zfqaVT6kt,975873,0,{},191128002559508,2019-11-28 13:40:20,SL,,13,UD8801,326.4,BO,13,TRIGGER PENDING,,,,ZEEL,BUY,326.4,DAY,bo
