,average_price,cancelled_quantity,disclosed_quantity,exchange,exchange_order_id,exchange_timestamp,exchange_update_timestamp,filled_quantity,guid,instrument_token,market_protection,order_id,order_timestamp,order_type,parent_order_id,pending_quantity,placed_by,price,product,quantity,status,status_message,status_message_raw,tag,tradingsymbol,transaction_type,trigger_price,validity,variety
0,234.5,0,0,NSE,1100000000691768,2019-11-25 09:25:05,2019-11-25 09:25:05,8,12499XLoJpgnzzdAs7,7712001,0,191125000280688,2019-11-25 09:25:05,LIMIT,,0,UD8801,235.2,BO,8,COMPLETE,,,,IBULHSGFIN,BUY,0.0,DAY,bo
1,0.0,8,8,NSE,1100000000691779,2019-11-25 09:26:32,2019-11-25 09:26:32,0,,7712001,0,191125000280690,2019-11-25 09:26:32,LIMIT,191125000280688,8,UD8801,236.9,BO,8,CANCELLED,,,,IBULHSGFIN,SELL,0.0,DAY,bo
2,234.2,0,0,NSE,1100000000691778,2019-11-25 09:26:32,2019-11-25 09:26:32,8,,7712001,0,191125000280691,2019-11-25 09:26:32,LIMIT,191125000280688,0,UD8801,213.65,BO,8,COMPLETE,,,,IBULHSGFIN,SELL,234.2,DAY,bo
3,234.2,0,0,NSE,1100000000759220,2019-11-25 09:26:40,2019-11-25 09:26:40,8,12499XNMv1alfYLIm0,7712001,0,191125000308178,2019-11-25 09:26:40,LIMIT,,0,UD8801,234.2,BO,8,COMPLETE,,,,IBULHSGFIN,SELL,0.0,DAY,bo
4,0.0,8,8,NSE,1100000000759222,2019-11-25 09:29:20,2019-11-25 09:29:20,0,,7712001,0,191125000308180,2019-11-25 09:29:20,LIMIT,191125000308178,8,UD8801,232.4,BO,8,CANCELLED,,,,IBULHSGFIN,BUY,0.0,DAY,bo
5,237.5,0,0,NSE,1100000000759223,2019-11-25 09:29:20,2019-11-25 09:29:20,8,,7712001,0,191125000308181,2019-11-25 09:29:20,LIMIT,191125000308178,0,UD8801,261.05,BO,8,COMPLETE,,,,IBULHSGFIN,BUY,237.4,DAY,bo
6,237.4,0,0,NSE,1100000000865435,2019-11-25 09:29:20,2019-11-25 09:29:20,8,12499XgKU0BBiz3qil,7712001,0,191125000351728,2019-11-25 09:29:20,LIMIT,,0,UD8801,237.4,BO,8,COMPLETE,,,,IBULHSGFIN,BUY,0.0,DAY,bo
7,0.0,0,8,NSE,1100000000865532,2019-11-25 09:29:20,2019-11-25 09:29:20,0,,7712001,0,191125000351755,2019-11-25 09:29:20,LIMIT,191125000351728,8,UD8801,242.8,BO,8,OPEN,,,,IBULHSGFIN,SELL,0.0,DAY,bo
8,0.0,0,8,NSE,1100000000865535,2019-11-25 09:29:20,2019-11-25 09:29:20,0,,7712001,0,191125000351756,2019-11-25 09:29:20,SL,191125000351728,8,UD8801,213.65,BO,8,TRIGGER PENDING,,,,IBULHSGFIN,SELL,234.8,DAY,bo
