,average_price,cancelled_quantity,disclosed_quantity,exchange,exchange_order_id,exchange_timestamp,exchange_update_timestamp,filled_quantity,guid,instrument_token,market_protection,meta,order_id,order_timestamp,order_type,parent_order_id,pending_quantity,placed_by,price,product,quantity,status,status_message,status_message_raw,tag,tradingsymbol,transaction_type,trigger_price,validity,variety
0,291.4,0,0,NSE,1300000001147387,2019-12-03 09:35:07,2019-12-03 09:35:07,13,12499XPN9MslQB1pUE,975873,0,{},191203000461343,2019-12-03 09:35:07,LIMIT,,0,UD8801,291.4,BO,13,COMPLETE,,,,ZEEL,SELL,0.0,DAY,bo
1,253.9,0,0,NSE,1100000001073485,2019-12-03 09:35:07,2019-12-03 09:35:07,20,12499XvXqD6dG50Dib,7458561,0,{},191203000461345,2019-12-03 09:35:07,LIMIT,,0,UD8801,253.9,BO,20,COMPLETE,,,,INFRATEL,SELL,0.0,DAY,bo
2,0.0,20,20,NSE,1100000001073762,2019-12-03 09:40:29,2019-12-03 09:40:29,0,,7458561,0,{},191203000461438,2019-12-03 09:40:29,LIMIT,191203000461345,20,UD8801,244.4,BO,20,CANCELLED,,,,INFRATEL,BUY,0.0,DAY,bo
3,252.95,0,0,NSE,1100000001073741,2019-12-03 09:40:29,2019-12-03 09:40:29,20,,7458561,0,{},191203000461439,2019-12-03 09:40:29,LIMIT,191203000461345,0,UD8801,292.05,BO,20,COMPLETE,,,,INFRATEL,BUY,252.9,DAY,bo
4,252.9,0,0,NSE,1100000001267493,2019-12-03 09:40:30,2019-12-03 09:40:30,20,12499XK7K78w2s2EgW,7458561,0,{},191203000539512,2019-12-03 09:40:30,LIMIT,,0,UD8801,252.9,BO,20,COMPLETE,,,,INFRATEL,BUY,0.0,DAY,bo
5,0.0,0,20,NSE,1100000001267514,2019-12-03 09:40:30,2019-12-03 09:40:30,0,,7458561,0,{},191203000539527,2019-12-03 09:40:30,LIMIT,191203000539512,20,UD8801,258.1,BO,20,OPEN,,,,INFRATEL,SELL,0.0,DAY,bo
6,0.0,0,20,NSE,1100000001267520,2019-12-03 09:40:30,2019-12-03 09:40:30,0,,7458561,0,{},191203000539528,2019-12-03 09:40:30,SL,191203000539512,20,UD8801,238.95,BO,20,TRIGGER PENDING,,,,INFRATEL,SELL,250.2,DAY,bo
7,161.1,0,0,NSE,1300000001502204,2019-12-03 09:45:07,2019-12-03 09:45:23,30,12499XnwKmvU3xLuyY,884737,0,{},191203000600001,2019-12-03 09:45:23,LIMIT,,0,UD8801,161.1,BO,30,COMPLETE,,,,TATAMOTORS,SELL,0.0,DAY,bo
8,0.0,0,30,NSE,1300000001510508,2019-12-03 09:45:23,2019-12-03 09:45:23,0,,884737,0,{},191203000603818,2019-12-03 09:45:23,LIMIT,191203000600001,30,UD8801,159.4,BO,30,OPEN,,,,TATAMOTORS,BUY,0.0,DAY,bo
9,0.0,0,30,NSE,1300000001510496,2019-12-03 09:45:23,2019-12-03 09:45:23,0,,884737,0,{},191203000603819,2019-12-03 09:45:23,SL,191203000600001,30,UD8801,177.15,BO,30,TRIGGER PENDING,,,,TATAMOTORS,BUY,163.0,DAY,bo
10,0.0,13,13,NSE,1300000001147713,2019-12-03 09:45:24,2019-12-03 09:45:24,0,,975873,0,{},191203000461454,2019-12-03 09:45:24,LIMIT,191203000461343,13,UD8801,285.4,BO,13,CANCELLED,,,,ZEEL,BUY,0.0,DAY,bo
11,290.2,0,0,NSE,1300000001147709,2019-12-03 09:45:24,2019-12-03 09:45:24,13,,975873,0,{},191203000461455,2019-12-03 09:45:24,LIMIT,191203000461343,0,UD8801,322.05,BO,13,COMPLETE,,,,ZEEL,BUY,290.2,DAY,bo
12,290.2,0,0,NSE,1300000001515247,2019-12-03 09:45:30,2019-12-03 09:46:28,13,12499XNhgJPGPx1TxU,975873,0,{},191203000605329,2019-12-03 09:46:28,LIMIT,,0,UD8801,290.2,BO,13,COMPLETE,,,,ZEEL,BUY,0.0,DAY,bo
13,0.0,13,13,NSE,1300000001544962,2019-12-03 09:50:33,2019-12-03 09:50:33,0,,975873,0,{},191203000617661,2019-12-03 09:50:33,LIMIT,191203000605329,13,UD8801,294.1,BO,13,CANCELLED,,,,ZEEL,SELL,0.0,DAY,bo
14,289.0,0,0,NSE,1300000001544959,2019-12-03 09:50:33,2019-12-03 09:50:33,13,,975873,0,{},191203000617662,2019-12-03 09:50:33,LIMIT,191203000605329,0,UD8801,263.55,BO,13,COMPLETE,,,,ZEEL,SELL,289.1,DAY,bo
15,289.1,0,0,NSE,1300000001693161,2019-12-03 09:50:40,2019-12-03 09:50:52,13,12499Xcnu21c3SlE8b,975873,0,{},191203000674956,2019-12-03 09:50:52,LIMIT,,0,UD8801,289.1,BO,13,COMPLETE,,,,ZEEL,SELL,0.0,DAY,bo
16,285.4,0,0,NSE,1300000001701603,2019-12-03 09:50:52,2019-12-03 10:01:08,13,,975873,0,{},191203000677961,2019-12-03 10:01:08,LIMIT,191203000674956,0,UD8801,285.4,BO,13,COMPLETE,,,,ZEEL,BUY,0.0,DAY,bo
17,0.0,13,13,NSE,1300000001701595,2019-12-03 10:01:08,2019-12-03 10:01:08,0,,975873,0,{},191203000677962,2019-12-03 10:01:08,SL,191203000674956,13,UD8801,322.05,BO,13,CANCELLED,,,,ZEEL,BUY,287.9,DAY,bo
18,0.0,0,0,NSE,1300000002045467,2019-12-03 10:01:11,2019-12-03 10:01:11,0,12499X3RQ9xCm4FKkW,975873,0,{},191203000808950,2019-12-03 10:01:11,SL,,13,UD8801,298.9,BO,13,TRIGGER PENDING,,,,ZEEL,BUY,298.9,DAY,bo
