,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,day_high,day_low,order_id,price,semi-target_status,status,stoploss,stoploss_status,target,target_status,transaction_type
0,0,0,0,0,0,0,0.0,645.6,643.2,1.0,643.6,0,,645.6,0,637.0,0,SELL
1,1,1,1,1,1,0,,646.0,643.0,,645.6,0,,643.2,0,653.2,0,BUY
