,local_order_id,order_id,order_type,parent_order_id,price,status,transaction_type,trigger_price
0,1,191204000208912,LIMIT,NA,391.8,COMPLETE,SELL,0
1,,191204000208914,LIMIT,191204000208912,388.9,CANCELLED,BUY,0.0
2,,191204000208915,LIMIT,191204000208912,439.6,COMPLETE,BUY,392.2
0,2,191204000218534,LIMIT,NA,392.2,COMPLETE,BUY,0
1,,191204000218535,LIMIT,191204000218534,396.8,OPEN,SELL,0.0
2,,191204000218536,SL,191204000218534,359.7,TRIGGER PENDING,SELL,388.6
