,average_price,cancelled_quantity,disclosed_quantity,exchange,exchange_order_id,exchange_timestamp,exchange_update_timestamp,filled_quantity,guid,instrument_token,market_protection,order_id,order_timestamp,order_type,parent_order_id,pending_quantity,placed_by,price,product,quantity,status,status_message,status_message_raw,tag,tradingsymbol,transaction_type,trigger_price,validity,variety
0,726.8,0,0,NSE,1100000000920260,2019-10-30 09:25:05,2019-10-30 09:27:46,10,12499XAjy645ntXKVv,315393,0,191030000348338,2019-10-30 09:27:46,LIMIT,,0,UD8801,726.8,BO,10,COMPLETE,,,,GRASIM,BUY,0.0,DAY,bo
1,663.25,0,0,NSE,1100000001939940,2019-10-30 09:45:05,2019-10-30 09:45:05,10,12499XbhIgeC7z4v0A,408065,0,191030000728137,2019-10-30 09:45:05,LIMIT,,0,UD8801,663.3,BO,10,COMPLETE,,,,INFY,BUY,0.0,DAY,bo
2,667.45,0,0,NSE,1100000001939949,2019-10-30 09:45:05,2019-10-30 09:48:13,10,,408065,0,191030000728150,2019-10-30 09:48:13,LIMIT,191030000728137,0,UD8801,667.45,BO,10,COMPLETE,,,,INFY,SELL,0.0,DAY,bo
3,58.0,0,0,NSE,1300000001094363,2019-10-30 09:30:05,2019-10-30 09:53:13,10,12499X5J8deCjnxepJ,3050241,0,191030000447613,2019-10-30 09:53:13,LIMIT,,0,UD8801,58.0,BO,10,COMPLETE,,,,YESBANK,SELL,0.0,DAY,bo
4,0.0,10,10,NSE,1100000001079189,2019-10-30 10:26:12,2019-10-30 10:26:12,0,,315393,0,191030000404982,2019-10-30 10:26:12,LIMIT,191030000348338,10,UD8801,735.6,BO,10,CANCELLED,,,,GRASIM,SELL,0.0,DAY,bo
5,721.25,0,0,NSE,1100000001079186,2019-10-30 10:26:12,2019-10-30 10:26:12,10,,315393,0,191030000404983,2019-10-30 10:26:12,LIMIT,191030000348338,0,UD8801,643.3,BO,10,COMPLETE,,,,GRASIM,SELL,721.4,DAY,bo
6,0.0,10,10,NSE,1300000002113821,2019-10-30 15:21:41,2019-10-30 15:21:41,0,,3050241,0,191030000848505,2019-10-30 15:21:44,LIMIT,191030000447613,10,UD8801,55.8,BO,10,CANCELLED,,,,YESBANK,BUY,0.0,DAY,bo
7,56.9,0,0,NSE,1300000002113833,2019-10-30 15:22:03,2019-10-30 15:22:03,10,,3050241,0,191030000848506,2019-10-30 15:22:04,LIMIT,191030000447613,0,UD8801,63.95,BO,10,COMPLETE,,,,YESBANK,BUY,0.0,DAY,bo
8,0.0,0,0,NSE,,,,0,12499XAvR9empcwpzZ,408065,0,191030003564066,2019-10-30 22:12:09,MARKET,,0,UD8801,0.0,NRML,1,REJECTED,Order was placed outside of trading hours (adapter off). Try placing an AMO.,Adapter is Not Ready,,INFY,BUY,0.0,DAY,regular
9,0.0,0,0,NSE,,,,0,12499XhGBq0tc9rSNN,408065,0,191030003564421,2019-10-30 22:14:04,MARKET,,0,UD8801,0.0,NRML,1,REJECTED,Order was placed outside of trading hours (adapter off). Try placing an AMO.,Adapter is Not Ready,,INFY,BUY,0.0,DAY,regular
10,0.0,0,0,NSE,,,,0,12499Xx3RHmRYs3lUw,408065,0,191030003565666,2019-10-30 22:19:09,MARKET,,0,UD8801,0.0,NRML,1,REJECTED,Order was placed outside of trading hours (adapter off). Try placing an AMO.,Adapter is Not Ready,,INFY,BUY,0.0,DAY,regular
11,0.0,0,0,NSE,,,,0,12499Xi8NRHxSMmui9,408065,0,191030003566501,2019-10-30 22:22:14,MARKET,,0,UD8801,0.0,NRML,1,REJECTED,Order was placed outside of trading hours (adapter off). Try placing an AMO.,Adapter is Not Ready,,INFY,BUY,0.0,DAY,regular
12,0.0,10,10,NSE,1100000001939951,2019-10-30 09:48:13,2019-10-30 09:48:13,0,,408065,0,191030000728151,2019-10-30 23:16:37,SL,191030000728137,10,UD8801,585.6,BO,10,CANCELLED,BO: auto square off executed,BO: auto square off executed,,INFY,SELL,656.25,DAY,bo
