,average_price,cancelled_quantity,disclosed_quantity,exchange,exchange_order_id,exchange_timestamp,exchange_update_timestamp,filled_quantity,guid,instrument_token,market_protection,order_id,order_timestamp,order_type,parent_order_id,pending_quantity,placed_by,price,product,quantity,status,status_message,status_message_raw,tag,tradingsymbol,transaction_type,trigger_price,validity,variety
0,288.25,0,0,NSE,1300000000874120,2019-11-18 09:25:05,2019-11-18 09:25:05,13,12499XluE2km5HSugl,975873,0,191118000305114,2019-11-18 09:25:05,LIMIT,,0,UD8801,288.1,BO,13,COMPLETE,,,,ZEEL,SELL,0.0,DAY,bo
1,169.9,0,0,NSE,1300000001117959,2019-11-18 09:30:05,2019-11-18 09:30:05,30,12499XqJ5lAipMT9Gh,884737,0,191118000394979,2019-11-18 09:30:05,LIMIT,,0,UD8801,169.9,BO,30,COMPLETE,,,,TATAMOTORS,SELL,0.0,DAY,bo
2,94.6,0,0,NSE,1000000003194743,2019-11-18 10:44:24,2019-11-18 10:48:09,100,01XzrVKU8SnXG9c,912129,0,191118001224204,2019-11-18 10:48:09,LIMIT,,0,UD8801,94.6,CNC,100,COMPLETE,,,,ADANIGREEN,BUY,0.0,DAY,regular
3,0.0,13,13,NSE,1300000000874125,2019-11-18 11:05:30,2019-11-18 11:05:30,0,,975873,0,191118000305119,2019-11-18 11:05:30,LIMIT,191118000305114,13,UD8801,285.55,BO,13,CANCELLED,,,,ZEEL,BUY,0.0,DAY,bo
4,295.75,0,0,NSE,1300000000874127,2019-11-18 11:05:30,2019-11-18 11:05:30,13,,975873,0,191118000305120,2019-11-18 11:05:30,LIMIT,191118000305114,0,UD8801,316.65,BO,13,COMPLETE,,,,ZEEL,BUY,295.75,DAY,bo
5,295.75,0,0,NSE,1300000003759329,2019-11-18 11:05:40,2019-11-18 11:05:42,13,12499Xq4S6iWzX7w5A,975873,0,191118001378117,2019-11-18 11:05:42,LIMIT,,0,UD8801,295.75,BO,13,COMPLETE,,,,ZEEL,BUY,0.0,DAY,bo
6,0.0,13,13,NSE,1300000003759945,2019-11-18 11:24:35,2019-11-18 11:24:35,0,,975873,0,191118001378319,2019-11-18 11:24:35,LIMIT,191118001378117,13,UD8801,300.35,BO,13,CANCELLED,,,,ZEEL,SELL,0.0,DAY,bo
7,296.8,0,0,NSE,1300000003759944,2019-11-18 11:24:35,2019-11-18 11:24:35,13,,975873,0,191118001378320,2019-11-18 11:24:35,LIMIT,191118001378117,0,UD8801,259.15,BO,13,COMPLETE,,,,ZEEL,SELL,296.8,DAY,bo
8,0.0,30,30,NSE,1300000001118072,2019-11-18 13:40:11,2019-11-18 13:40:11,0,,884737,0,191118000395058,2019-11-18 13:40:11,LIMIT,191118000394979,30,UD8801,167.6,BO,30,CANCELLED,,,,TATAMOTORS,BUY,0.0,DAY,bo
9,171.75,0,0,NSE,1300000001118073,2019-11-18 13:40:11,2019-11-18 13:40:11,30,,884737,0,191118000395059,2019-11-18 13:40:11,LIMIT,191118000394979,0,UD8801,185.4,BO,30,COMPLETE,,,,TATAMOTORS,BUY,171.7,DAY,bo
10,171.5,0,0,NSE,1300000006775416,2019-11-18 13:40:20,2019-11-18 13:40:20,30,12499XIcgVh3Swk2gP,884737,0,191118002278197,2019-11-18 13:40:20,LIMIT,,0,UD8801,171.7,BO,30,COMPLETE,,,,TATAMOTORS,BUY,0.0,DAY,bo
11,0.0,0,30,NSE,1300000006775419,2019-11-18 13:40:20,2019-11-18 13:40:20,0,,884737,0,191118002278198,2019-11-18 13:40:20,LIMIT,191118002278197,30,UD8801,173.5,BO,30,OPEN,,,,TATAMOTORS,SELL,0.0,DAY,bo
12,0.0,0,30,NSE,1300000006775417,2019-11-18 13:40:20,2019-11-18 13:40:20,0,,884737,0,191118002278199,2019-11-18 13:40:20,SL,191118002278197,30,UD8801,151.7,BO,30,TRIGGER PENDING,,,,TATAMOTORS,SELL,169.0,DAY,bo
