Company,Profit,Trades,Net_Profit
BHARTIARTL,4.600000000000023,2,8114.600000000042
RELIANCE,-33.80000000000018,2,-17300.00000000009
GRASIM,3.7000000000000455,2,2375.000000000034
Total,,6,-6810.400000000014
