Company,Profit,Trades,Net_Profit
INFRATEL,1.0999999999999943,1,1999.9999999999886
SBIN,5.299999999999841,11,13699.999999999523
EICHERMOT,339.700000000008,5,7492.5000000002
Total,,17,23192.499999999713
