,local_order_id,order_id,order_type,parent_order_id,price,status,transaction_type,trigger_price
0,1,191111000315565,LIMIT,NA,71.7,COMPLETE,BUY,0
1,,191111000315568,LIMIT,191111000315565,72.35,OPEN,SELL,0.0
2,,191111000315569,SL,191111000315565,62.1,TRIGGER PENDING,SELL,69.15
