Close,Date,DatePart,Day_High,Day_Low,High,Hour,Long_Count,Low,Minute,Open,Order_Price,Order_Signal,Order_Status,Profit,Short_Count,Stop_Loss,Target,Trade_Count,Year
441.8,2019-11-26 09:15:00,2019-11-26,0.0,0.0,446.65,9,0.0,441.7,15,444.85,441.8,SELL,Entry,0.0,0.0,446.65,432.8,0.0,2019
439.8,2019-11-26 09:40:00,2019-11-26,0.0,0.0,440.25,9,0.0,438.6,40,438.8,440.0,BUY,Exit,0.0,0.0,437.6,444.2,0.0,2019
437.25,2019-11-26 10:00:00,2019-11-26,0.0,0.0,440.2,10,0.0,436.6,0,439.95,437.6,SELL,Exit,0.0,0.0,446.6,432.8,0.0,2019
435.8,2019-11-26 12:35:00,2019-11-26,0.0,0.0,436.2,12,0.0,434.8,35,435.0,435.8,BUY,Exit,0.0,0.0,434.8,444.2,0.0,2019
434.6,2019-11-26 13:15:00,2019-11-26,0.0,0.0,435.4,13,0.0,433.7,15,435.3,434.8,SELL,Exit,0.0,0.0,446.6,432.8,0.0,2019
434.2,2019-11-26 14:15:00,2019-11-26,0.0,0.0,434.8,14,0.0,432.65,15,434.3,432.8,BUY,Exit,0.0,0.0,0.0,0.0,0.0,2019
