,local_order_id,order_id,order_type,parent_order_id,price,status,transaction_type,trigger_price
0,2,191120000235211,LIMIT,NA,1566.0,COMPLETE,BUY,0
1,,191120000235213,LIMIT,191120000235211,1581.65,OPEN,SELL,0.0
2,,191120000235214,SL,191120000235211,1358.8,TRIGGER PENDING,SELL,1546.85
0,3,191120003020870,LIMIT,NA,1546.85,COMPLETE,SELL,0
1,,191120003021002,LIMIT,191120003020870,1532.25,OPEN,BUY,0.0
2,,191120003021003,SL,191120003020870,1660.7,TRIGGER PENDING,BUY,1572.05
