,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,day_high,day_low,order_id,price,semi-target_status,status,stoploss,stoploss_status,target,target_status,transaction_type
0,0,0,0.0,0.0,0.0,1125.5,1122.4,1.0,1123.0,0,,1125.5,0,1116.6,0,SELL
1,1,1,0.0,,,1125.5,1122.4,,1125.5,0,,1122.4,0,1152.6,0,BUY
2,2,0,,,,1125.8,1116.0,2.0,1122.4,0,,1125.8,0,1116.6,0,SELL
