order_id,transaction_type,price,stoploss,target,status,semi-target_status,target_status,stoploss_status,day_high,day_low
1,BUY,274.6,265.0,277.2,,0,1,0,281.6,265.0
2,SELL,265.0,281.6,256.9,,1,0,1,281.6,260.5
3,BUY,263.9,260.5,277.2,,0,0,1,281.6,259.1
4,SELL,260.5,281.6,256.9,,1,0,1,281.6,257.6
5,BUY,259.5,257.6,264.7,,1,1,0,281.6,256.7
