Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,11,59,15700
ASIANPAINT,60417,600,-125,32,-81400
AXISBANK,1510401,1200,49,54,48000
BAJAJ-AUTO,4267265,250,-275,51,-78950
BAJFINANCE,81153,250,202,56,39300
BAJAJFINSV,4268801,125,602,62,62850
BPCL,134657,1800,66,97,99400
BHARTIARTL,2714625,1851,11,45,11361
INFRATEL,7458561,2000,5,37,2600
BRITANNIA,140033,200,-29,35,-12800
CIPLA,177665,1000,25,57,13600
COALINDIA,5215745,2200,23,95,31600
DRREDDY,225537,250,75,46,9550
EICHERMOT,232961,25,2175,52,43975
GAIL,1207553,5334,4,74,6536
GRASIM,315393,750,138,72,89100
HCLTECH,1850625,700,79,45,46300
HDFCBANK,341249,250,-70,59,-29300
HEROMOTOCO,345089,200,-31,45,-15200
HINDALCO,348929,3500,23,84,63700
HINDUNILVR,356865,300,82,57,13200
HDFC,340481,500,135,87,50100
ICICIBANK,1270529,1375,9,79,-3425
ITC,424961,2400,28,66,54000
IBULHSGFIN,7712001,800,179,90,125200
IOC,415745,3500,5,80,1500
INDUSINDBK,1346049,400,201,70,66400
INFY,408065,1200,-20,40,-32000
JSWSTEEL,3001089,2000,17,89,16200
KOTAKBANK,492033,400,12,74,-10000
LT,2939649,375,32,72,-2400
M&M,519937,1000,76,85,59000
MARUTI,2815745,75,803,64,47425
NTPC,2977281,4800,6,64,16000
ONGC,633601,3750,12,77,29600
POWERGRID,3834113,4000,7,64,15200
RELIANCE,738561,500,73,72,22100
SBIN,779521,3000,26,80,62000
SUNPHARMA,857857,1100,34,63,24800
TCS,2953217,250,-29,46,-16450
TATAMOTORS,884737,3000,24,75,57000
TATASTEEL,895745,1061,64,88,50304
TECHM,3465729,1200,15,66,4800
TITAN,897537,750,109,70,67750
UPL,2889473,900,40,73,21400
ULTRACEMCO,2952193,200,349,79,54000
VEDL,784129,3000,20,75,45000
WIPRO,969473,3200,-4,46,-22000
YESBANK,3050241,2200,20,69,30200
ZEEL,975873,1300,41,61,41100
