,close,date,high,low,open,volume
0,1259.6,2019-07-01 09:15:00+05:30,1262.2,1258.05,1258.05,360255
1,1255.3,2019-07-01 09:20:00+05:30,1258.65,1254.1,1258.5,223802
2,1257.0,2019-07-01 09:25:00+05:30,1259.4,1255.2,1255.3,117853
3,1257.6,2019-07-01 09:30:00+05:30,1258.55,1257.05,1257.3,63896
4,1256.45,2019-07-01 09:35:00+05:30,1258.3,1255.5,1257.8,71629
5,1252.55,2019-07-01 09:40:00+05:30,1256.65,1251.25,1256.5,168302
6,1250.55,2019-07-01 09:45:00+05:30,1254.4,1250.2,1252.6,122636
7,1250.9,2019-07-01 09:50:00+05:30,1253.05,1250.5,1250.5,104298
8,1249.5,2019-07-01 09:55:00+05:30,1251.9,1249.0,1250.6,114529
9,1249.45,2019-07-01 10:00:00+05:30,1249.65,1246.8,1249.2,188703
10,1251.75,2019-07-01 10:05:00+05:30,1252.8,1248.85,1249.25,109413
11,1254.7,2019-07-01 10:10:00+05:30,1254.85,1251.75,1252.1,116164
12,1254.9,2019-07-01 10:15:00+05:30,1257.0,1253.3,1254.7,136937
13,1258.7,2019-07-01 10:20:00+05:30,1259.0,1254.9,1254.95,173848
14,1262.05,2019-07-01 10:25:00+05:30,1262.05,1258.3,1258.7,178020
15,1264.55,2019-07-01 10:30:00+05:30,1264.7,1259.5,1262.55,189523
16,1262.4,2019-07-01 10:35:00+05:30,1266.8,1262.25,1264.6,263399
17,1264.4,2019-07-01 10:40:00+05:30,1264.4,1262.05,1262.5,93319
18,1264.6,2019-07-01 10:45:00+05:30,1265.1,1264.05,1264.4,67839
19,1265.45,2019-07-01 10:50:00+05:30,1266.0,1262.8,1264.4,79864
20,1265.0,2019-07-01 10:55:00+05:30,1265.85,1264.95,1264.95,35550
21,1265.25,2019-07-01 11:00:00+05:30,1265.5,1263.85,1265.0,29077
22,1267.2,2019-07-01 11:05:00+05:30,1270.0,1265.25,1265.25,265058
23,1266.0,2019-07-01 11:10:00+05:30,1267.2,1265.45,1267.0,89586
24,1267.6,2019-07-01 11:15:00+05:30,1267.95,1265.95,1265.95,40290
25,1266.5,2019-07-01 11:20:00+05:30,1267.6,1266.0,1267.55,29758
