,Token,Timestamp,LTP
121,897537,2019-07-16 12:33:28,1113.85
122,897537,2019-07-16 12:33:29,1113.85
123,897537,2019-07-16 12:33:30,1113.85
124,897537,2019-07-16 12:33:31,1113.6
125,897537,2019-07-16 12:33:31,1113.6
126,897537,2019-07-16 12:33:32,1113.5
127,897537,2019-07-16 12:33:33,1113.5
128,897537,2019-07-16 12:33:33,1113.5
129,897537,2019-07-16 12:33:34,1113.5
130,897537,2019-07-16 12:33:34,1113.5
131,897537,2019-07-16 12:33:35,1113.5
132,897537,2019-07-16 12:33:35,1113.05
133,897537,2019-07-16 12:33:36,1113.5
134,897537,2019-07-16 12:33:37,1113.5
135,897537,2019-07-16 12:33:38,1113.8
136,897537,2019-07-16 12:33:39,1113.8
137,897537,2019-07-16 12:33:40,1113.9
138,897537,2019-07-16 12:33:41,1113.9
139,897537,2019-07-16 12:33:42,1113.9
140,897537,2019-07-16 12:33:43,1113.95
141,897537,2019-07-16 12:33:43,1113.95
142,897537,2019-07-16 12:33:44,1113.95
143,897537,2019-07-16 12:33:45,1113.9
144,897537,2019-07-16 12:33:45,1113.9
145,897537,2019-07-16 12:33:46,1113.95
146,897537,2019-07-16 12:33:46,1113.95
147,897537,2019-07-16 12:33:47,1113.95
148,897537,2019-07-16 12:33:48,1113.95
149,897537,2019-07-16 12:33:49,1113.95
150,897537,2019-07-16 12:33:49,1113.8
151,897537,2019-07-16 12:33:50,1113.8
152,897537,2019-07-16 12:33:51,1113.9
153,897537,2019-07-16 12:33:52,1113.9
154,897537,2019-07-16 12:33:52,1113.95
155,897537,2019-07-16 12:33:53,1113.95
156,897537,2019-07-16 12:33:54,1113.95
157,897537,2019-07-16 12:33:55,1113.95
158,897537,2019-07-16 12:33:56,1113.95
159,897537,2019-07-16 12:33:57,1113.95
160,897537,2019-07-16 12:33:58,1113.8
161,897537,2019-07-16 12:33:58,1113.8
162,897537,2019-07-16 12:33:59,1113.8
163,897537,2019-07-16 12:33:59,1113.8
164,897537,2019-07-16 12:34:01,1113.8
165,897537,2019-07-16 12:34:01,1113.5
166,897537,2019-07-16 12:34:02,1113.5
167,897537,2019-07-16 12:34:02,1113.5
168,897537,2019-07-16 12:34:03,1113.5
169,897537,2019-07-16 12:34:04,1113.05
170,897537,2019-07-16 12:34:05,1113.35
171,897537,2019-07-16 12:34:06,1113.35
172,897537,2019-07-16 12:34:07,1113.35
173,897537,2019-07-16 12:34:08,1113.35
174,897537,2019-07-16 12:34:09,1113.35
175,897537,2019-07-16 12:34:11,1113.35
176,897537,2019-07-16 12:34:12,1113.35
177,897537,2019-07-16 12:34:13,1113.35
178,897537,2019-07-16 12:34:14,1113.05
179,897537,2019-07-16 12:34:14,1113.05
180,897537,2019-07-16 12:34:16,1113.05
181,897537,2019-07-16 12:34:16,1113.05
182,897537,2019-07-16 12:34:17,1113.05
183,897537,2019-07-16 12:34:19,1113.05
184,897537,2019-07-16 12:34:20,1113.35
185,897537,2019-07-16 12:34:20,1113.0
186,897537,2019-07-16 12:34:21,1113.0
187,897537,2019-07-16 12:34:22,1112.65
188,897537,2019-07-16 12:34:22,1112.65
189,897537,2019-07-16 12:34:23,1112.95
190,897537,2019-07-16 12:34:25,1113.0
191,897537,2019-07-16 12:34:25,1113.0
