,average_price,cancelled_quantity,disclosed_quantity,exchange,exchange_order_id,exchange_timestamp,exchange_update_timestamp,filled_quantity,guid,instrument_token,market_protection,order_id,order_timestamp,order_type,parent_order_id,pending_quantity,placed_by,price,product,quantity,status,status_message,status_message_raw,tag,tradingsymbol,transaction_type,trigger_price,validity,variety
0,443.55,0,0,NSE,1000000000756181,2019-11-26 09:25:05,2019-11-26 09:25:05,19,12499XyH3mzXIralgV,2714625,0,191126000333738,2019-11-26 09:25:05,LIMIT,,0,UD8801,441.8,BO,19,COMPLETE,,,,BHARTIARTL,SELL,0.0,DAY,bo
1,239.1,0,0,NSE,1100000000945156,2019-11-26 09:25:05,2019-11-26 09:25:05,20,12499XOinJPbgOVp6m,7458561,0,191126000333742,2019-11-26 09:25:05,LIMIT,,0,UD8801,239.1,BO,20,COMPLETE,,,,INFRATEL,SELL,0.0,DAY,bo
2,0.0,0,20,NSE,1100000000945178,2019-11-26 09:25:05,2019-11-26 09:25:05,0,,7458561,0,191126000333765,2019-11-26 09:25:05,LIMIT,191126000333742,20,UD8801,231.9,BO,20,OPEN,,,,INFRATEL,BUY,0.0,DAY,bo
3,274.6,0,0,NSE,1100000002048498,2019-11-26 09:50:05,2019-11-26 10:12:57,8,12499XavpsTEdSLjUr,7712001,0,191126000755680,2019-11-26 10:12:57,LIMIT,,0,UD8801,274.6,BO,8,COMPLETE,,,,IBULHSGFIN,BUY,0.0,DAY,bo
4,277.2,0,0,NSE,1100000002771835,2019-11-26 10:12:57,2019-11-26 10:22:55,8,,7712001,0,191126001023048,2019-11-26 10:22:56,LIMIT,191126000755680,0,UD8801,277.2,BO,8,COMPLETE,,,,IBULHSGFIN,SELL,0.0,DAY,bo
5,0.0,8,8,NSE,1100000002771836,2019-11-26 10:22:56,2019-11-26 10:22:56,0,,7712001,0,191126001023049,2019-11-26 10:22:56,SL,191126000755680,8,UD8801,233.55,BO,8,CANCELLED,,,,IBULHSGFIN,SELL,265.0,DAY,bo
6,265.0,0,0,NSE,1100000003106320,2019-11-26 11:36:15,2019-11-26 11:36:27,8,12499XfRbMgZjWAMBa,7712001,0,191126001153255,2019-11-26 11:36:27,LIMIT,,0,UD8801,265.0,BO,8,COMPLETE,,,,IBULHSGFIN,SELL,265.0,DAY,bo
7,0.0,0,0,NSE,1100000000945173,2019-11-26 11:41:08,2019-11-26 11:41:08,0,,7458561,0,191126000333766,2019-11-26 11:41:08,SL,191126000333742,20,UD8801,275.15,BO,20,TRIGGER PENDING,,,,INFRATEL,BUY,238.1,DAY,bo
8,701.4,0,0,NSE,1100000005144163,2019-11-26 11:52:24,2019-11-26 11:52:24,1,12499XKmLythpIQ5kd,408065,0,191126001788418,2019-11-26 11:52:24,LIMIT,,0,UD8801,701.4,BO,1,COMPLETE,,,,INFY,BUY,0.0,DAY,bo
9,0.0,1,1,NSE,1100000005171073,2019-11-26 12:02:19,2019-11-26 12:02:19,0,,408065,0,191126001795911,2019-11-26 12:02:19,LIMIT,191126001788418,1,UD8801,711.4,BO,1,CANCELLED,,,,INFY,SELL,0.0,DAY,bo
10,702.0,0,0,NSE,1100000005171074,2019-11-26 12:02:19,2019-11-26 12:02:19,1,,408065,0,191126001795912,2019-11-26 12:02:19,LIMIT,191126001788418,0,UD8801,628.3,BO,1,COMPLETE,,,,INFY,SELL,702.0,DAY,bo
11,434.55,0,0,NSE,1000000000756188,2019-11-26 09:25:05,2019-11-26 13:16:19,4,,2714625,0,191126000333760,2019-11-26 13:16:19,LIMIT,191126000333738,0,UD8801,434.55,BO,4,COMPLETE,,,,BHARTIARTL,BUY,0.0,DAY,bo
12,0.0,4,0,NSE,1000000000756191,2019-11-26 13:16:19,2019-11-26 13:16:19,0,,2714625,0,191126000333761,2019-11-26 13:16:19,SL,191126000333738,4,UD8801,496.5,BO,4,CANCELLED,,,,BHARTIARTL,BUY,440.0,DAY,bo
