,average_price,cancelled_quantity,disclosed_quantity,exchange,exchange_order_id,exchange_timestamp,exchange_update_timestamp,filled_quantity,guid,instrument_token,market_protection,order_id,order_timestamp,order_type,parent_order_id,pending_quantity,placed_by,price,product,quantity,status,status_message,status_message_raw,tag,tradingsymbol,transaction_type,trigger_price,validity,variety
0,64.6,0,0,NSE,1300000000672082,2019-11-20 09:20:05,2019-11-20 09:20:05,22,12499X5hQSswfGm1MX,3050241,0,191120000235202,2019-11-20 09:20:05,LIMIT,,0,UD8801,64.8,BO,22,COMPLETE,,,,YESBANK,BUY,0.0,DAY,bo
1,0.0,0,22,NSE,1300000000672094,2019-11-20 09:20:05,2019-11-20 09:20:05,0,,3050241,0,191120000235204,2019-11-20 09:20:05,LIMIT,191120000235202,22,UD8801,64.9,BO,22,OPEN,,,,YESBANK,SELL,0.0,DAY,bo
2,0.0,0,22,NSE,1300000000672093,2019-11-20 09:20:05,2019-11-20 09:20:05,0,,3050241,0,191120000235205,2019-11-20 09:20:05,SL,191120000235202,22,UD8801,57.75,BO,22,TRIGGER PENDING,,,,YESBANK,SELL,61.8,DAY,bo
3,1565.55,0,0,NSE,1300000000672100,2019-11-20 09:20:05,2019-11-20 09:20:05,5,12499XeuD84tvLHWLc,738561,0,191120000235211,2019-11-20 09:20:05,LIMIT,,0,UD8801,1566.0,BO,5,COMPLETE,,,,RELIANCE,BUY,0.0,DAY,bo
4,0.0,0,5,NSE,1300000000672108,2019-11-20 09:20:05,2019-11-20 09:20:05,0,,738561,0,191120000235213,2019-11-20 09:20:05,LIMIT,191120000235211,5,UD8801,1581.65,BO,5,OPEN,,,,RELIANCE,SELL,0.0,DAY,bo
5,0.0,0,5,NSE,1300000000672110,2019-11-20 09:20:05,2019-11-20 09:20:05,0,,738561,0,191120000235214,2019-11-20 09:20:05,SL,191120000235211,5,UD8801,1358.8,BO,5,TRIGGER PENDING,,,,RELIANCE,SELL,1546.85,DAY,bo
6,251.25,0,0,NSE,1100000000893298,2019-11-20 09:25:05,2019-11-20 09:25:05,20,12499XuGToAcCVbUDF,7458561,0,191120000357817,2019-11-20 09:25:05,LIMIT,,0,UD8801,251.2,BO,20,COMPLETE,,,,INFRATEL,SELL,0.0,DAY,bo
7,249.35,0,0,NSE,1100000000893311,2019-11-20 09:25:05,2019-11-20 09:34:16,20,,7458561,0,191120000357821,2019-11-20 09:34:16,LIMIT,191120000357817,0,UD8801,249.35,BO,20,COMPLETE,,,,INFRATEL,BUY,0.0,DAY,bo
8,0.0,20,20,NSE,1100000000893313,2019-11-20 09:34:16,2019-11-20 09:34:16,0,,7458561,0,191120000357822,2019-11-20 09:34:16,SL,191120000357817,20,UD8801,275.6,BO,20,CANCELLED,,,,INFRATEL,BUY,260.25,DAY,bo
9,0.0,0,0,NSE,1100000001367158,2019-11-20 09:34:20,2019-11-20 09:34:20,0,12499XwBnw2YJrmYwZ,7458561,0,191120000541087,2019-11-20 09:34:20,SL,,20,UD8801,260.2,BO,20,TRIGGER PENDING,,,,INFRATEL,BUY,260.2,DAY,bo
