Company,Profit,Trades,Net_Profit
IBULHSGFIN,0.30000000000001137,5,-759.9999999999909
TATASTEEL,5.900000000000034,1,6059.900000000036
TITAN,-12.899999999999864,5,-10674.999999999898
Total,,11,-5375.099999999853
