Company,Profit,Trades,Net_Profit
INFRATEL,-0.10000000000002274,7,-1600.0000000000455
ZEEL,5.900000000000205,7,6270.000000000266
TATAMOTORS,1.0,3,2400.0
Total,,17,7070.00000000022
