order_id,transaction_type,price,stoploss,target,semi_target,status,semi-target_status,target_status,stoploss_status,day_high,day_low
1,SELL,253.9,269.4,244.4,252.9,,1,0,1,269.4,250.2
2,BUY,252.9,250.2,258.1,253.9,,0,0,1,269.4,250.2
3,SELL,250.2,269.4,244.4,249.2,,1,0,1,269.4,248.0
4,BUY,249.2,248.0,258.1,250.2,,0,0,1,269.4,248.0
5,SELL,248.0,269.4,244.4,247.0,,1,0,1,269.4,246.1
6,BUY,247.0,246.1,258.1,248.0,,0,0,1,269.4,246.1
7,SELL,246.1,269.4,244.4,245.1,,0,1,0,269.4,237.2
