,local_order_id,order_id,order_type,parent_order_id,price,status,transaction_type,trigger_price
0,1,191203000461345,LIMIT,NA,253.9,COMPLETE,SELL,0
1,,191203000461438,LIMIT,191203000461345,244.4,OPEN,BUY,0.0
2,,191203000461439,SL,191203000461345,292.05,TRIGGER PENDING,BUY,269.4
0,2,191203000539512,LIMIT,NA,252.9,COMPLETE,BUY,0
1,,191203000539527,LIMIT,191203000539512,258.1,OPEN,SELL,0.0
2,,191203000539528,SL,191203000539512,238.95,TRIGGER PENDING,SELL,250.2
0,3,191203000967588,LIMIT,NA,250.2,COMPLETE,SELL,0
1,,191203001069448,LIMIT,191203000967588,244.4,OPEN,BUY,0.0
2,,191203001069449,SL,191203000967588,292.05,TRIGGER PENDING,BUY,269.4
0,4,191203001144795,LIMIT,NA,249.2,COMPLETE,BUY,0
1,,191203001144803,LIMIT,191203001144795,258.1,OPEN,SELL,0.0
2,,191203001144804,SL,191203001144795,238.95,TRIGGER PENDING,SELL,248.0
3,,191203001144805,LIMIT,191203001144795,258.1,OPEN,SELL,0.0
4,,191203001144806,SL,191203001144795,238.95,TRIGGER PENDING,SELL,248.0
5,,191203001144807,LIMIT,191203001144795,258.1,OPEN,SELL,0.0
6,,191203001144808,SL,191203001144795,238.95,TRIGGER PENDING,SELL,248.0
0,5,191203001153947,LIMIT,NA,248.0,COMPLETE,SELL,0
1,,191203001153951,LIMIT,191203001153947,244.55,OPEN,BUY,0.0
2,,191203001153952,SL,191203001153947,292.05,TRIGGER PENDING,BUY,269.55
