order_id,transaction_type,price,stoploss,target,semi_target,status,semi-target_status,target_status,stoploss_status,day_high,day_low
1,BUY,73.7,71.7,76.0,73.9948,,0,0,1,74.0,71.7
2,SELL,71.7,74.0,70.8,71.4132,,0,1,0,74.0,67.6
