,local_order_id,order_id,order_type,parent_order_id,price,status,transaction_type,trigger_price
0,1,191202000225578,LIMIT,NA,1604.0,COMPLETE,BUY,0
1,,191202000225601,LIMIT,191202000225578,1638.35,OPEN,SELL,0.0
2,,191202000225602,SL,191202000225578,1396.05,TRIGGER PENDING,SELL,1578.35
0,2,191202002818874,LIMIT,NA,1578.35,COMPLETE,SELL,0
1,,191202002818885,LIMIT,191202002818874,1559.5,OPEN,BUY,0.0
2,,191202002818886,SL,191202002818874,1706.25,TRIGGER PENDING,BUY,1614.6
