,local_order_id,order_id,order_type,parent_order_id,price,status,transaction_type,trigger_price
0,1,191202000225589,LIMIT,NA,482.4,COMPLETE,BUY,0
1,,191202000247740,LIMIT,191202000225589,485.1,OPEN,SELL,0.0
2,,191202000247741,SL,191202000225589,398.25,TRIGGER PENDING,SELL,471.5
3,,191202000247742,LIMIT,191202000225589,485.1,OPEN,SELL,0.0
4,,191202000247743,SL,191202000225589,398.25,TRIGGER PENDING,SELL,471.5
5,,191202000247799,LIMIT,191202000225589,485.1,OPEN,SELL,0.0
6,,191202000247800,SL,191202000225589,398.25,TRIGGER PENDING,SELL,471.5
0,2,191202001084964,LIMIT,NA,471.5,COMPLETE,SELL,0
1,,191202001084967,LIMIT,191202001084964,457.9,OPEN,BUY,0.0
2,,191202001084968,SL,191202001084964,486.65,TRIGGER PENDING,BUY,486.65
